Triênio,Curso
2022-2024,Medicina Veterinária (Bacharelado)
2022-2024,Nutrição (Bacharelado)
2022-2024,Odontologia (Bacharelado)
2022-2024,Pedagogia (Licenciatura)
2022-2024,Psicologia (Bacharelado / Licenciatura / Psicólogo)
2022-2024,Química (Bacharelado)
2022-2024,Relações Internacionais (Bacharelado)
2022-2024,Campus UnB — Gama / DF
2022-2024,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**
2023-2025,Campus UnB — Ceilândia / DF
2023-2025,Enfermagem (Bacharelado)
2023-2025,Farmácia (Bacharelado)
2023-2025,Fisioterapia (Bacharelado)
2023-2025,Fonoaudiologia (Bacharelado)
2023-2025,Saúde Coletiva (Bacharelado)
2023-2025,Terapia Ocupacional (Bacharelado)
2023-2025,Campus UnB — Darcy Ribeiro (Plano Piloto) / DF
2023-2025,Administração (Bacharelado)
2023-2025,Administração (Bacharelado)
2023-2025,Agronomia (Bacharelado)
2023-2025,Arquitetura e Urbanismo (Bacharelado)
2023-2025,Arquitetura e Urbanismo (Bacharelado)
2023-2025,Arquivologia (Bacharelado)
2023-2025,Artes Cênicas (Bacharelado)
2023-2025,Artes Cênicas (Licenciatura)
2023-2025,Artes Cênicas (Licenciatura)
2023-2025,Artes Visuais (Bacharelado)
2023-2025,Biblioteconomia (Bacharelado)
2023-2025,Biotecnologia (Bacharelado)
2023-2025,Ciência da Computação (Bacharelado)
2023-2025,Ciência Política (Bacharelado)
2023-2025,Ciências Ambientais (Bacharelado)
2023-2025,Ciências Biológicas (Bacharelado)
2023-2025,Ciências Biológicas (Licenciatura)
2023-2025,Ciências Contábeis (Bacharelado)
2023-2025,Ciências Contábeis (Bacharelado)
2023-2025,Ciências Econômicas (Bacharelado)
2023-2025,Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura)
2023-2025,Computação (Licenciatura)
2023-2025,Comunicação Organizacional (Bacharelado)
2023-2025,Comunicação Social – Audiovisual (Bacharelado)
2023-2025,Comunicação Social – Publicidade e Propaganda (Bacharelado)
2023-2025,Design (Bacharelado)
2023-2025,Direito (Bacharelado)
2023-2025,Direito (Bacharelado)
2023-2025,Educação Física Ciclo Básico (Bacharelado/Licenciatura)
2023-2025,Enfermagem (Bacharelado)
2023-2025,Engenharia Ambiental (Bacharelado)
2023-2025,Engenharia Civil (Bacharelado)
2023-2025,Engenharia de Computação (Bacharelado)
2023-2025,Engenharia de Produção (Bacharelado)
2023-2025,Engenharia de Redes de Comunicação (Bacharelado)
2023-2025,Engenharia Elétrica (Bacharelado)
2023-2025,Engenharia Florestal (Bacharelado)
2023-2025,Engenharia Mecânica (Bacharelado)
2023-2025,Engenharia Mecatrônica (Bacharelado)
2023-2025,Engenharia Química (Bacharelado)
2023-2025,Estatística (Bacharelado)
2023-2025,Farmácia (Bacharelado)
2023-2025,Farmácia (Bacharelado)
2023-2025,Filosofia (Bacharelado/Licenciatura)
2023-2025,Filosofia (Licenciatura)
2023-2025,Física (Bacharelado)
2023-2025,Física (Licenciatura)
2023-2025,Geofísica (Bacharelado)
2023-2025,Geografia (Bacharelado/Licenciatura)
2023-2025,Geologia (Bacharelado)
2023-2025,Gestão de Agronegócio (Bacharelado)
2023-2025,Gestão de Políticas Públicas (Bacharelado)
2023-2025,História (Bacharelado/Licenciatura)
2023-2025,História (Licenciatura)
2023-2025,Jornalismo (Bacharelado)
2023-2025,Letras Português do Brasil como Seg. Língua (Licenciatura)
2023-2025,Letras Tradução Espanhol (Bacharelado)
2023-2025,Letras Tradução Francês (Bacharelado)
2023-2025,Letras Tradução Inglês (Bacharelado)
2023-2025,Língua e Literatura Japonesa (Licenciatura)
2023-2025,Língua Espanhola e Literatura Espanhola e Hispano - Americana (Licenciatura)
2023-2025,Língua Francesa (Bacharelado/ Licenciatura)
2023-2025,Língua Inglesa (Bacharelado/ Licenciatura)
2023-2025,Língua Portuguesa (Bacharelado/ Licenciatura)
2023-2025,Língua Portuguesa (Licenciatura)
2023-2025,Línguas Estrangeiras Aplicadas (Bacharelado)
2023-2025,Matemática (Bacharelado/Licenciatura)
2023-2025,Matemática (Licenciatura)
2023-2025,Medicina (Bacharelado)
2023-2025,Medicina Veterinária (Bacharelado)
2023-2025,Museologia (Bacharelado)
2023-2025,Música (Bacharelado)*
2023-2025,Música (Licenciatura)*
2023-2025,Nutrição (Bacharelado)
2023-2025,Odontologia (Bacharelado)
2023-2025,Pedagogia (Licenciatura)
2023-2025,Pedagogia (Licenciatura)
2023-2025,Psicologia (Bacharelado/Licenciatura/ Psicólogo)
2023-2025,Química (Bacharelado)
2023-2025,Química (Licenciatura)
2023-2025,Química Tecnológica (Bacharelado)
2023-2025,Relações Internacionais (Bacharelado)
2023-2025,Saúde Coletiva (Bacharelado)
2023-2025,Serviço Social (Bacharelado)
2023-2025,Serviço Social (Bacharelado)
2023-2025,Teoria Crítica e História da Arte (Bacharelado)
2023-2025,Turismo (Bacharelado)
