id_oferta,id_oferta_num,curso,campus,turno,modalidade_normalizada,classe,velocidade_min,velocidade_max,consistencia,mudancas_direcao,coef_var_min,coef_var_max
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,44,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,Crescimento,17.256,28.777,100.0,0,-31.009,-60.581
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,45,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,Oscilante,10.556,12.687,50.0,1,-26.605,-32.436
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,47,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,Queda,-30.19,-32.143,100.0,0,-41.601,-45.151
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,48,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,11.928,-0.957,60.0,3,-429.767,58.285
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,50,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,-18.382,-18.382,50.0,1,-145.709,-145.709
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,51,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,-19.814,-10.789,50.0,1,-906.864,369.438
Artes Cênicas (Literatura) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,59,Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,AC,Oscilante,17.029,0.726,66.7,2,-168.312,97.563
Artes Cênicas (Literatura) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,61,Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,Queda,-57.025,-20.032,100.0,0,-297.728,285.984
Artes Visuais (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,66,Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,13.562,6.653,60.0,3,-189.563,64.458
Artes Visuais (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,68,Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,-18.018,17.03,50.0,1,-161.118,-465.708
Artes Visuais (Licenciatura) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,70,Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,AC,Crescimento,24.05,21.265,100.0,0,-80.304,41.965
Artes Visuais (Licenciatura) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,72,Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,CN,Queda,-2.392,-2.392,100.0,0,-5.279,-5.279
Artes Visuais (Licenciatura) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,75,Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,-44.36,-22.954,50.0,1,-256.216,180.539
Artes Visuais (Licenciatura) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,76,Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,Queda,-4.162,-4.162,100.0,0,-14.671,-14.671
Biblioteconomia (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,77,Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,-4.907,5.14,50.0,2,-28.248,49.332
Biblioteconomia (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,78,Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,CN,Queda,-10.839,-10.839,100.0,0,-53.91,-53.91
Biblioteconomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,79,Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Estável,10.491,0.181,50.0,1,-69.382,-49.508
Biblioteconomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,80,Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Queda,-17.8,-17.8,100.0,0,-24.966,-24.966
Biblioteconomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,81,Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,-3.985,13.849,66.7,1,-69.542,182.676
