id_oferta,id_oferta_num,curso,campus,turno,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,delta_min,delta_max,delta_min_pct,delta_max_pct,velocidade_min,velocidade_max,media_min,media_max,desvio_min,desvio_max,coef_var_min,coef_var_max,amplitude_media,amplitude_min,amplitude_max
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,27,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,AC,6,-31.822,48.138,62.419,74.131,79.96,11.712,-251.273,18.764,15.992,2.342,24.09,63.998,37.087,25.328,153.954,39.576,39.908,14.709,94.241
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,28,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,CN,6,46.911,65.15,54.412,65.15,18.239,10.738,38.88,19.735,3.648,2.148,54.41,55.66,19.643,19.306,36.103,34.687,1.25,0.0,7.501
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,29,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,CN,6,-66.223,23.271,-53.075,23.271,89.494,76.346,-135.14,-143.846,17.899,15.269,-25.271,-23.08,36.803,34.174,-145.634,-148.073,2.191,0.0,13.148
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,30,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-74.003,-14.415,-50.838,58.507,59.588,109.345,-80.521,-215.085,19.863,36.448,-7.936,25.838,48.873,51.986,-615.796,201.203,33.774,17.665,72.922
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,31,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3,-65.025,-19.787,5.459,-19.787,45.238,-25.246,-69.57,-462.466,22.619,-12.623,-29.209,-0.537,32.157,17.062,-110.094,-3179.216,28.672,0.0,70.484
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,32,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-32.379,-32.379,4.506,4.506,0.0,0.0,-0.0,0.0,,,-32.379,4.506,,,,,36.885,36.885,36.885
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,33,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-44.527,-23.28,18.536,23.159,21.247,4.623,-47.717,24.941,7.082,1.541,-16.892,30.218,25.364,12.879,-150.156,42.621,47.11,14.697,64.239
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,34,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3,-46.6,-20.256,-28.781,-20.256,26.344,8.525,-56.532,-29.62,13.172,4.262,-24.467,-18.527,20.357,11.218,-83.201,-60.55,5.94,0.0,17.819
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,35,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,23.187,-33.969,39.321,4.708,-57.156,-34.613,-246.5,-88.027,-14.289,-8.653,34.598,58.894,42.645,39.547,123.259,67.149,24.296,11.947,38.677
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,36,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,-25.804,-44.019,12.181,37.832,-18.215,25.651,70.59,210.582,-6.072,8.55,-28.281,13.738,12.333,18.58,-43.607,135.25,42.019,21.719,81.851
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,37,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,65.505,65.505,97.824,97.824,0.0,0.0,0.0,0.0,,,65.505,97.824,,,,,32.319,32.319,32.319
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,38,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-57.497,-57.497,11.923,11.923,0.0,0.0,-0.0,0.0,,,-57.497,11.923,,,,,69.42,69.42,69.42
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,39,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-33.644,-10.139,16.99,15.247,23.505,-1.743,-69.864,-10.259,7.835,-0.581,-2.715,34.726,24.186,21.504,-890.733,61.926,37.442,25.386,50.634
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,40,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,4,-17.044,-39.05,-17.044,-39.05,-22.006,-22.006,129.113,129.113,-7.335,-7.335,-37.176,-18.222,32.002,14.623,-86.082,-80.25,18.954,0.0,75.816
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,41,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,12.661,12.661,61.488,61.488,0.0,0.0,0.0,0.0,,,12.661,61.488,,,,,48.827,48.827,48.827
