id_oferta,id_oferta_num,curso,campus,turno,modalidade,observacoes_min,observacoes_max,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,media_historica_min,mediana_historica_min,minimo_historico_min,maximo_historico_min,amplitude_historica_min,desvio_historico_min,coef_var_min,consistencia_min,mudancas_min,volatilidade_min,media_historica_max,mediana_historica_max,minimo_historico_max,maximo_historico_max,amplitude_historica_max,desvio_historico_max,coef_var_max,consistencia_max,mudancas_max,volatilidade_max,persistencia_min,r2_persistencia_min,regressao_linear_min,r2_regressao_linear_min,regressao_ponderada_min,r2_regressao_ponderada_min,media_movel_min,r2_media_movel_min,persistencia_max,r2_persistencia_max,regressao_linear_max,r2_regressao_linear_max,regressao_ponderada_max,r2_regressao_ponderada_max,media_movel_max,r2_media_movel_max,ensemble_min,ensemble_mediana_min,ensemble_desvio_min,ensemble_amplitude_min,ensemble_n_modelos_min,ensemble_max,ensemble_mediana_max,ensemble_desvio_max,ensemble_amplitude_max,ensemble_n_modelos_max
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,22,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,4,-58.889,-35.875,21.927,1.054,-58.995,-52.99,-94.126,-35.875,58.251,25.235,-42.775,66.667,2.0,52.765,21.669,23.662,1.054,38.297,37.243,15.443,71.267,66.667,1,20.997,-35.875,,-53.494,0.013,-44.203,-0.055,-57.895,,1.054,,2.789,0.399,-5.354,0.26,17.893,,-47.867,-48.848,9.822,22.02,4,4.096,1.922,9.842,23.246,4
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,23,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,1,-58.036,-58.036,-13.042,-13.042,-58.036,-58.036,-58.036,-58.036,0.0,0.0,0.0,100.0,0.0,0.0,-13.042,-13.042,-13.042,-13.042,0.0,0.0,0.0,100.0,0,0.0,-58.036,,,,,,-58.036,,-13.042,,,,,,-13.042,,-58.036,-58.036,0.0,0.0,2,-13.042,-13.042,0.0,0.0,2
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,24,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,3,-67.906,-61.917,-36.5,-4.933,-72.736,-73.751,-81.527,-61.917,19.61,9.394,-12.915,66.667,1.0,16.015,-23.405,-28.783,-36.5,-4.933,31.567,16.456,-70.31,100.0,0,11.408,-61.917,,-68.727,0.049,-62.467,-0.173,-71.935,,-4.933,,-1.075,0.789,2.339,0.766,-18.144,,-66.262,-65.598,4.883,10.018,4,-5.453,-3.004,8.967,20.483,4
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,25,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,1,-62.778,-62.778,-36.2,-36.2,-62.778,-62.778,-62.778,-62.778,0.0,0.0,0.0,100.0,0.0,0.0,-36.2,-36.2,-36.2,-36.2,0.0,0.0,0.0,100.0,0,0.0,-62.778,,,,,,-62.778,,-36.2,,,,,,-36.2,,-62.778,-62.778,0.0,0.0,2,-36.2,-36.2,0.0,0.0,2
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,26,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,AC,6,5,65.986,98.047,111.643,146.303,79.586,79.452,64.82,98.047,33.227,13.352,16.777,80.0,2.0,20.718,116.522,121.99,77.537,146.303,68.766,25.173,21.603,75.0,2,47.648,98.047,,93.196,0.297,92.623,0.296,82.826,,146.303,,122.953,0.024,128.773,-0.017,118.18,,91.673,92.91,6.38,15.221,4,129.052,125.863,12.289,28.123,4
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,27,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,AC,6,6,-31.822,48.138,62.419,74.131,24.09,33.66,-31.822,61.623,93.445,37.087,153.954,80.0,2.0,50.006,63.998,71.021,15.316,87.641,72.325,25.328,39.576,60.0,4,48.288,48.138,,57.422,0.231,42.523,0.132,32.026,,74.131,,53.451,0.05,52.257,0.048,61.487,,45.027,45.33,10.624,25.396,4,60.331,57.469,10.071,21.874,4
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,28,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,CN,6,6,46.911,65.15,54.412,65.15,54.41,50.52,27.497,85.859,58.362,19.643,36.103,60.0,4.0,38.219,55.66,53.793,27.497,85.859,58.362,19.306,34.687,60.0,4,36.6,65.15,,54.699,0.0,58.656,-0.025,54.478,,65.15,,52.198,0.009,57.585,-0.038,54.836,,58.246,56.678,4.987,10.672,4,57.442,56.21,5.589,12.952,4
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,29,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,CN,6,6,-66.223,23.271,-53.075,23.271,-25.271,-26.274,-66.223,23.271,89.494,36.803,-145.634,80.0,2.0,45.849,-23.08,-26.274,-56.427,23.271,79.698,34.174,-148.073,80.0,2,42.857,23.271,,21.031,0.452,29.137,0.423,-14.246,,23.271,,16.649,0.386,27.258,0.327,-13.62,,14.798,22.151,19.662,43.383,4,13.389,19.96,18.531,40.879,4
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,30,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,4,-74.003,-14.415,-50.838,58.507,-7.936,2.969,-74.003,36.319,110.322,48.873,-615.796,66.667,1.0,72.623,25.838,47.841,-50.838,58.507,109.345,51.986,201.203,100.0,0,46.35,-14.415,,40.746,0.265,11.728,0.088,1.8,,58.507,,112.758,0.745,95.155,0.688,43.222,,9.965,6.764,23.178,55.161,4,77.411,76.831,32.096,69.536,4
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,31,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3,3,-65.025,-19.787,5.459,-19.787,-29.209,-19.787,-65.025,-2.815,62.21,32.157,-110.094,50.0,1.0,55.99,-0.537,5.459,-19.787,12.718,32.505,17.062,-3179.216,50.0,1,28.117,-19.787,,16.029,0.495,2.832,0.424,-21.669,,-19.787,,-25.783,0.547,-32.41,0.484,-4.744,,-5.649,-8.478,18.243,37.698,4,-20.681,-22.785,11.809,27.666,4
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,32,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,1,-32.379,-32.379,4.506,4.506,-32.379,-32.379,-32.379,-32.379,0.0,0.0,0.0,100.0,0.0,0.0,4.506,4.506,4.506,4.506,0.0,0.0,0.0,100.0,0,0.0,-32.379,,,,,,-32.379,,4.506,,,,,,4.506,,-32.379,-32.379,0.0,0.0,2,4.506,4.506,0.0,0.0,2
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,33,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,4,-44.527,-23.28,18.536,23.159,-16.892,-19.846,-44.527,16.653,61.18,25.364,-150.156,66.667,1.0,48.647,30.218,27.254,18.536,47.826,29.29,12.879,42.621,66.667,1,22.771,-23.28,,-9.223,0.024,-22.832,-0.12,-15.358,,23.159,,37.804,0.093,30.308,-0.077,31.735,,-17.673,-19.095,6.704,14.057,4,30.751,31.021,6.015,14.645,4
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,34,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3,3,-46.6,-20.256,-28.781,-20.256,-24.467,-20.256,-46.6,-6.545,40.055,20.357,-83.201,50.0,1.0,38.018,-18.527,-20.256,-28.781,-6.545,22.236,11.218,-60.55,50.0,1,25.418,-20.256,,1.877,0.419,-7.084,0.337,-20.076,,-20.256,,-10.002,0.144,-15.994,0.025,-17.106,,-11.385,-13.58,10.78,22.133,4,-15.84,-16.55,4.29,10.254,4
