Curso,Campus,Turno,Modalidade,Triênios,Primeira Nota,Última Nota,Média Histórica,Mediana Histórica,Mínimo Histórico,Máximo Histórico,Previsão,Δ Média,Δ Última,Índice de Estabilidade,Estabilidade,CV (%),Desvio,Amplitude,Volatilidade,Mudanças
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3,-46.6,-20.26,-24.47,-20.26,-46.6,-6.54,-11.38,13.08,8.87,46.81,Moderada,-83.2,20.36,40.06,38.02,1.0
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,-25.8,-44.02,-28.28,-27.51,-44.02,-14.08,-43.14,-14.86,0.88,54.17,Moderada,-43.61,12.33,29.94,15.41,1.0
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-57.5,-57.5,-57.5,-57.5,-57.5,-57.5,-57.5,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,4,-17.04,-39.05,-37.18,-28.05,-81.64,-10.97,-54.61,-17.44,-15.56,38.5,Baixa,-86.08,32.0,70.67,57.8,2.0
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,AC,5,-46.3,-57.87,-62.4,-57.87,-82.04,-46.3,-60.18,2.22,-2.32,49.11,Moderada,-22.26,13.89,35.74,21.44,2.0
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,CN,3,-71.23,10.22,-44.66,-71.23,-72.96,10.22,16.72,61.38,6.5,38.85,Baixa,-106.44,47.53,83.18,60.04,1.0
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,2,-47.98,-30.72,-39.35,-39.35,-47.98,-30.72,-23.53,15.82,7.19,62.63,Alta,-31.01,12.2,17.26,0.0,0.0
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3,-55.76,-34.65,-49.83,-55.76,-59.09,-34.65,-34.22,15.61,0.43,49.27,Moderada,-26.6,13.26,24.45,19.65,1.0
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-70.62,-70.62,-70.62,-70.62,-70.62,-70.62,-70.62,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,2,-36.22,-66.41,-51.32,-51.32,-66.41,-36.22,-71.44,-20.13,-5.03,61.82,Alta,-41.6,21.35,30.19,0.0,0.0
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,AC,6,-35.96,23.68,-7.11,-11.19,-35.96,27.5,30.2,37.32,6.52,52.99,Moderada,-429.77,30.57,63.46,20.52,3.0
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,-64.51,-64.51,-64.51,-64.51,-64.51,-64.51,-64.51,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,-5.73,-42.49,-15.93,-5.73,-42.49,0.43,-43.2,-27.27,-0.71,48.93,Moderada,-145.71,23.21,42.92,34.7,1.0
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,19.75,-19.88,-2.22,-6.53,-19.88,19.75,-21.32,-19.1,-1.44,63.81,Alta,-906.86,20.16,39.63,9.14,0.0
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-30.79,-30.79,-30.79,-30.79,-30.79,-30.79,-30.79,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1,-33.37,-33.37,-33.37,-33.37,-33.37,-33.37,-33.37,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,-58.97,-58.97,-58.97,-58.97,-58.97,-58.97,-58.97,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Cênicas (Licenciatura),Darcy Ribeiro,Diurno,AC,1,-12.38,-12.38,-12.38,-12.38,-12.38,-12.38,-12.38,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Cênicas (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-49.81,-49.81,-49.81,-49.81,-49.81,-49.81,-49.81,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Cênicas (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-62.34,-62.34,-62.34,-62.34,-62.34,-62.34,-62.34,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
