id_oferta,id_oferta_num,curso,campus,turno,modalidade,n_trienios,media_ponderada_min,media_ponderada_max,desvio_ponderado_min,desvio_ponderado_max,slope_ponderada_min,slope_ponderada_max,momentum_min,momentum_max,aceleracao_min,aceleracao_max,curvatura_min,curvatura_max
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,30,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,1.8,43.222,33.258,32.345,4.964,25.9668,9.736,17.384,-72.545,-44.0065,-36.2725,-22.00325
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,31,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3,-21.669,-4.744,20.822,15.236,14.7008,-16.5994,7.54,-4.208,-79.182,-39.764,-39.591,-19.882
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,32,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-32.379,4.506,0.0,0.0,,,0.0,0.0,,,,
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,33,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-15.358,31.735,17.761,11.16,-3.7372,-0.7136,1.534,1.517,-34.0235,-18.7405,-17.01175,-9.37025
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,34,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3,-20.076,-17.106,13.353,8.053,7.7954,0.6678,4.391,1.421,-53.766,-35.947,-26.883,-17.9735
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,35,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,27.616,55.489,45.18,40.111,-22.46751,-16.72866,-6.982,-3.405,-40.00433,-32.55167,-19.991357,-19.367429
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,36,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,-31.77,16.588,11.318,18.973,-9.6302,10.209,-3.489,2.851,-13.2605,22.5375,-6.63025,11.26875
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,37,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,65.505,97.824,0.0,0.0,,,0.0,0.0,,,,
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,38,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-57.497,11.923,0.0,0.0,,,0.0,0.0,,,,
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,39,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,0.615,34.401,16.879,18.817,-1.0108,-8.0936,3.33,-0.325,-38.3525,-37.2155,-19.17625,-18.60775
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,40,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,4,-44.01,-21.265,26.937,14.867,-10.0168,-10.0168,-6.834,-3.043,18.258,-19.65,9.129,-9.825
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,41,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,12.661,61.488,0.0,0.0,,,0.0,0.0,,,,
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,42,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,AC,5,-62.975,15.46,11.009,24.566,2.17595,9.208,-0.572,6.443,7.21067,16.26033,2.958719,0.970078
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,43,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,CN,3,-31.081,-31.081,41.306,41.306,49.2158,49.2158,13.575,13.575,84.913,84.913,42.4565,42.4565
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,44,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,2,-36.473,-28.792,8.135,13.566,17.256,28.777,2.876,4.796,,,,
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,45,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3,-46.313,-44.182,11.721,13.845,8.99475,10.68387,3.519,4.229,27.786,32.049,5.187167,5.897667
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,46,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-70.619,-31.332,0.0,0.0,,,0.0,0.0,,,,
