id_oferta,id_oferta_num,curso,campus,turno,modalidade,observacoes_min,observacoes_max,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,media_historica_min,mediana_historica_min,minimo_historico_min,maximo_historico_min,amplitude_historica_min,desvio_historico_min,coef_var_min,consistencia_min,mudancas_min,volatilidade_min,media_historica_max,mediana_historica_max,minimo_historico_max,maximo_historico_max,amplitude_historica_max,desvio_historico_max,coef_var_max,consistencia_max,mudancas_max,volatilidade_max,persistencia_min,persistencia_max,regressao_linear_min,regressao_linear_max,regressao_ponderada_min,regressao_ponderada_max,media_movel_min,media_movel_max,ensemble_min,ensemble_max,ensemble_mediana_min,ensemble_mediana_max,ensemble_desvio_min,ensemble_desvio_max,ensemble_amplitude_min,ensemble_amplitude_max,ensemble_n_modelos_min,ensemble_n_modelos_max,intervalo_previsto,delta_media_min,delta_media_max,delta_ultima_min,delta_ultima_max,estab_coef_var,estab_amplitude,estab_volatilidade,estab_mudancas,estab_observacoes,indice_estabilidade,classe_estabilidade
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,22,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,4,-58.889,-35.875,21.927,1.054,-58.995,-52.99,-94.126,-35.875,58.251,25.235,-42.775,66.667,2.0,52.765,21.669,23.662,1.054,38.297,37.243,15.443,71.267,66.667,1,20.997,-35.875,1.054,-53.494,2.789,-44.203,-5.354,-57.895,17.893,-47.867,4.096,-48.848,1.922,9.822,9.842,22.02,23.246,4,4,51.963,11.128,-17.573,-11.992,3.042,67.67015706806284,27.617801047120416,15.575916230366493,17.212041884816752,64.9673202614379,38.61,Baixa
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,23,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,1,-58.036,-58.036,-13.042,-13.042,-58.036,-58.036,-58.036,-58.036,0.0,0.0,0.0,100.0,0.0,0.0,-13.042,-13.042,-13.042,-13.042,0.0,0.0,0.0,100.0,0,0.0,-58.036,-13.042,,,,,-58.036,-13.042,-58.036,-13.042,-58.036,-13.042,0.0,0.0,0.0,0.0,2,2,44.994,0.0,0.0,0.0,0.0,33.37696335078534,82.32984293193716,78.20680628272252,74.54188481675392,17.77777777777778,57.25,Moderada
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,24,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,3,-67.906,-61.917,-36.5,-4.933,-72.736,-73.751,-81.527,-61.917,19.61,9.394,-12.915,66.667,1.0,16.015,-23.405,-28.783,-36.5,-4.933,31.567,16.456,-70.31,100.0,0,11.408,-61.917,-4.933,-68.727,-1.075,-62.467,2.339,-71.935,-18.144,-66.262,-5.453,-65.598,-3.004,4.883,8.967,10.018,20.483,4,4,60.809,6.474,17.952,-4.345,-0.52,53.010471204188484,58.24607329842932,48.821989528795804,37.56544502617801,64.9673202614379,52.52,Moderada
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,25,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,1,-62.778,-62.778,-36.2,-36.2,-62.778,-62.778,-62.778,-62.778,0.0,0.0,0.0,100.0,0.0,0.0,-36.2,-36.2,-36.2,-36.2,0.0,0.0,0.0,100.0,0,0.0,-62.778,-36.2,,,,,-62.778,-36.2,-62.778,-36.2,-62.778,-36.2,0.0,0.0,0.0,0.0,2,2,26.578,0.0,0.0,0.0,0.0,33.37696335078534,82.32984293193716,78.20680628272252,74.54188481675392,17.77777777777778,57.25,Moderada
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,26,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,AC,6,5,65.986,98.047,111.643,146.303,79.586,79.452,64.82,98.047,33.227,13.352,16.777,80.0,2.0,20.718,116.522,121.99,77.537,146.303,68.766,25.173,21.603,75.0,2,47.648,98.047,146.303,93.196,122.953,92.623,128.773,82.826,118.18,91.673,129.052,92.91,125.863,6.38,12.289,15.221,28.123,4,4,37.379,12.087,12.53,-6.374,-17.251,14.528795811518325,47.5130890052356,43.84816753926701,17.212041884816752,95.29411764705881,43.68,Moderada
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,28,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,CN,6,6,46.911,65.15,54.412,65.15,54.41,50.52,27.497,85.859,58.362,19.643,36.103,60.0,4.0,38.219,55.66,53.793,27.497,85.859,58.362,19.306,34.687,60.0,4,36.6,65.15,65.15,54.699,52.198,58.656,57.585,54.478,54.836,58.246,57.442,56.678,56.21,4.987,5.589,10.672,12.952,4,4,-0.804,3.836,1.782,-6.904,-7.708,12.172774869109947,27.356020942408378,25.916230366492144,1.505235602094246,95.29411764705881,32.45,Baixa
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,30,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,4,-74.003,-14.415,-50.838,58.507,-7.936,2.969,-74.003,36.319,110.322,48.873,-615.796,66.667,1.0,72.623,25.838,47.841,-50.838,58.507,109.345,51.986,201.203,100.0,0,46.35,-14.415,58.507,40.746,112.758,11.728,95.155,1.8,43.222,9.965,77.411,6.764,76.831,23.178,32.096,55.161,69.536,4,4,67.446,17.901,51.573,24.38,18.904,97.38219895287958,4.450261780104714,5.366492146596857,37.56544502617801,64.9673202614379,41.95,Moderada
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,32,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,1,-32.379,-32.379,4.506,4.506,-32.379,-32.379,-32.379,-32.379,0.0,0.0,0.0,100.0,0.0,0.0,4.506,4.506,4.506,4.506,0.0,0.0,0.0,100.0,0,0.0,-32.379,4.506,,,,,-32.379,4.506,-32.379,4.506,-32.379,4.506,0.0,0.0,0.0,0.0,2,2,36.885,0.0,0.0,0.0,0.0,33.37696335078534,82.32984293193716,78.20680628272252,74.54188481675392,17.77777777777778,57.25,Moderada
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,33,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,4,-44.527,-23.28,18.536,23.159,-16.892,-19.846,-44.527,16.653,61.18,25.364,-150.156,66.667,1.0,48.647,30.218,27.254,18.536,47.826,29.29,12.879,42.621,66.667,1,22.771,-23.28,23.159,-9.223,37.804,-22.832,30.308,-15.358,31.735,-17.673,30.751,-19.095,31.021,6.704,6.015,14.057,14.645,4,4,48.424,-0.781,0.533,5.607,7.592,87.95811518324608,25.916230366492144,18.848167539267013,37.56544502617801,64.9673202614379,47.05,Moderada
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,35,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,5,23.187,-33.969,39.321,4.708,34.598,49.823,-33.969,74.542,108.511,42.645,123.259,50.0,1.0,56.131,58.894,61.77,4.708,108.759,104.051,39.547,67.149,50.0,1,54.468,-33.969,4.708,3.18,43.57,-24.808,16.455,27.616,55.489,-6.995,30.056,-10.814,30.013,27.966,23.501,61.585,50.781,4,4,37.051,-41.593,-28.838,26.974,25.348,7.198952879581155,4.842931937172779,12.958115183246077,37.56544502617801,82.2875816993464,28.97,Baixa
