curso,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,variacao_min,variacao_max,menor_nota_min,maior_nota_min,menor_nota_max,maior_nota_max,media_nota_min,media_nota_max,amplitude_media,amplitude_max,amplitude_min,coef_var_min,coef_var_max
Artes Cênicas (Licenciatura),AC,2,-12.384,-53.375,29.579,16.725,-40.991,-12.854,-53.375,-12.384,16.725,29.579,-32.88,23.152,56.031,70.1,41.963,-88.155,39.259
Artes Cênicas (Licenciatura),EP_R2_NPPIQ,1,-49.808,-49.808,-49.808,-49.808,0.0,0.0,-49.808,-49.808,-49.808,-49.808,-49.808,-49.808,0.0,0.0,0.0,,
Artes Cênicas (Licenciatura),EP_R2_PPIQ,1,-62.337,-62.337,-53.522,-53.522,0.0,0.0,-62.337,-62.337,-53.522,-53.522,-62.337,-53.522,8.815,8.815,8.815,,
Artes Cênicas (Literatura),AC,5,-52.165,-68.863,19.702,25.467,-16.698,5.765,-68.863,18.627,18.627,96.437,-30.55,36.423,66.972,145.707,0.0,-122.178,92.389
Artes Cênicas (Literatura),EP_R1_NPPI,2,14.969,-42.056,14.969,-5.063,-57.025,-20.032,-42.056,14.969,-5.063,14.969,-13.543,4.953,18.496,36.993,0.0,-297.728,285.984
Artes Cênicas (Literatura),EP_R1_PPI,1,-10.798,-10.798,-10.798,-10.798,0.0,0.0,-10.798,-10.798,-10.798,-10.798,-10.798,-10.798,0.0,0.0,0.0,,
Artes Cênicas (Literatura),EP_R2_NPPI,2,-68.553,-21.566,-68.553,-21.566,46.987,46.987,-68.553,-21.566,-68.553,-21.566,-45.06,-45.06,0.0,0.0,0.0,-73.735,-73.735
Artes Cênicas (Literatura),EP_R2_PPI,1,-49.617,-49.617,-49.617,-49.617,0.0,0.0,-49.617,-49.617,-49.617,-49.617,-49.617,-49.617,0.0,0.0,0.0,,
Artes Visuais (Bacharelado),AC,6,-54.583,13.225,41.796,75.062,67.808,33.266,-68.761,29.41,9.382,75.062,-20.002,40.637,60.638,96.379,29.504,-189.563,64.458
Artes Visuais (Bacharelado),CN,1,-21.925,-21.925,-21.925,-21.925,0.0,0.0,-21.925,-21.925,-21.925,-21.925,-21.925,-21.925,0.0,0.0,0.0,,
Artes Visuais (Bacharelado),EP_R2_NPPI,3,-37.278,-73.314,-37.278,-3.219,-36.036,34.059,-73.314,21.489,-37.278,21.489,-29.701,-6.336,23.365,70.095,0.0,-161.118,-465.708
Artes Visuais (Bacharelado),EP_R2_NPPIQ,1,-64.314,-64.314,-16.574,-16.574,0.0,0.0,-64.314,-64.314,-16.574,-16.574,-64.314,-16.574,47.74,47.74,47.74,,
Artes Visuais (Licenciatura),AC,4,-13.502,-7.957,-13.502,70.753,5.545,84.255,-90.01,-7.957,-13.502,70.753,-41.882,34.962,76.844,144.386,0.0,-92.203,105.118
Artes Visuais (Licenciatura),CN,2,-30.845,-33.237,-30.845,-33.237,-2.392,-2.392,-33.237,-30.845,-33.237,-30.845,-32.041,-32.041,0.0,0.0,0.0,-5.279,-5.279
Artes Visuais (Licenciatura),EP_R1_NPPI,1,-23.748,-23.748,-23.748,-23.748,0.0,0.0,-23.748,-23.748,-23.748,-23.748,-23.748,-23.748,0.0,0.0,0.0,,
Artes Visuais (Licenciatura),EP_R1_PPI,1,-23.125,-23.125,-23.125,-23.125,0.0,0.0,-23.125,-23.125,-23.125,-23.125,-23.125,-23.125,0.0,0.0,0.0,,
Artes Visuais (Licenciatura),EP_R2_NPPI,3,29.145,-59.575,29.145,-16.763,-88.72,-45.908,-59.575,29.145,-16.763,34.369,-17.375,15.584,32.959,56.064,0.0,-256.216,180.539
Artes Visuais (Licenciatura),EP_R2_PPI,2,-17.979,-22.141,-17.979,-22.141,-4.162,-4.162,-22.141,-17.979,-22.141,-17.979,-20.06,-20.06,0.0,0.0,0.0,-14.671,-14.671
