curso,modalidade_normalizada,registros,nota_min_media,nota_min_mediana,nota_min_dp,nota_min_min,nota_min_max,nota_max_media,nota_max_mediana,nota_max_dp,nota_max_min,nota_max_max,amplitude_media,amplitude_dp,amplitude_min,amplitude_max,coef_var_min,coef_var_max
Artes Visuais (Bacharelado),CN,1,-21.925,-21.925,,-21.925,-21.925,-21.925,-21.925,,-21.925,-21.925,0.0,,0.0,0.0,,
Artes Visuais (Bacharelado),EP_R2_NPPI,3,-29.701,-37.278,47.854,-73.314,21.489,-6.336,-3.219,29.507,-37.278,21.489,23.365,40.469,0.0,70.095,-161.118,-465.708
Artes Visuais (Bacharelado),EP_R2_NPPIQ,1,-64.314,-64.314,,-64.314,-64.314,-16.574,-16.574,,-16.574,-16.574,47.74,,47.74,47.74,,
Artes Visuais (Licenciatura),AC,4,-41.882,-34.78,38.616,-90.01,-7.957,34.962,41.299,36.752,-13.502,70.753,76.844,59.233,0.0,144.386,-92.203,105.118
Artes Visuais (Licenciatura),CN,2,-32.041,-32.041,1.691,-33.237,-30.845,-32.041,-32.041,1.691,-33.237,-30.845,0.0,0.0,0.0,0.0,-5.279,-5.279
Artes Visuais (Licenciatura),EP_R1_NPPI,1,-23.748,-23.748,,-23.748,-23.748,-23.748,-23.748,,-23.748,-23.748,0.0,,0.0,0.0,,
Artes Visuais (Licenciatura),EP_R1_PPI,1,-23.125,-23.125,,-23.125,-23.125,-23.125,-23.125,,-23.125,-23.125,0.0,,0.0,0.0,,
Artes Visuais (Licenciatura),EP_R2_NPPI,3,-17.375,-21.695,44.517,-59.575,29.145,15.584,29.145,28.135,-16.763,34.369,32.959,29.302,0.0,56.064,-256.216,180.539
Artes Visuais (Licenciatura),EP_R2_PPI,2,-20.06,-20.06,2.943,-22.141,-17.979,-20.06,-20.06,2.943,-22.141,-17.979,0.0,0.0,0.0,0.0,-14.671,-14.671
Biblioteconomia (Bacharelado),AC,5,-65.71,-69.572,18.562,-82.692,-37.863,33.842,28.392,16.695,15.722,60.65,99.552,31.794,53.585,141.585,-28.248,49.332
Biblioteconomia (Bacharelado),CN,4,-28.064,-25.985,15.129,-46.402,-13.884,-28.064,-25.985,15.129,-46.402,-13.884,0.0,0.0,0.0,0.0,-53.91,-53.91
Biblioteconomia (Bacharelado),EP_R1_NPPI,3,-41.492,-36.505,28.788,-72.447,-15.523,-21.988,-15.885,10.886,-34.556,-15.523,19.504,18.97,0.0,37.891,-69.382,-49.508
Biblioteconomia (Bacharelado),EP_R1_PPI,2,-50.415,-50.415,12.587,-59.315,-41.515,-50.415,-50.415,12.587,-59.315,-41.515,0.0,0.0,0.0,0.0,-24.966,-24.966
Biblioteconomia (Bacharelado),EP_R2_NPPI,4,-29.26,-24.876,20.348,-57.03,-10.259,14.896,16.062,27.211,-18.898,46.357,44.156,45.247,0.0,103.387,-69.542,182.676
Biblioteconomia (Bacharelado),EP_R2_NPPIQ,1,-54.547,-54.547,,-54.547,-54.547,-52.729,-52.729,,-52.729,-52.729,1.818,,1.818,1.818,,
Biblioteconomia (Bacharelado),EP_R2_PPI,3,-33.539,-45.036,20.449,-45.652,-9.93,-33.539,-45.036,20.449,-45.652,-9.93,0.0,0.0,0.0,0.0,-60.969,-60.969
Biologia (Bacharelado),AC,5,67.391,70.253,19.416,47.639,92.094,118.196,119.236,44.252,55.263,174.618,50.805,35.062,7.089,104.365,28.811,37.439
Biologia (Bacharelado),CN,5,7.988,23.621,25.688,-29.292,29.652,9.636,23.621,24.617,-29.292,29.652,1.648,3.684,0.0,8.238,321.567,255.467
Biologia (Bacharelado),EP_R1_NPPI,4,-9.895,-23.784,64.932,-64.765,72.752,12.014,5.694,45.595,-36.085,72.752,21.909,25.781,0.0,55.493,-656.206,379.521
Biologia (Bacharelado),EP_R1_NPPIQ,1,-78.848,-78.848,,-78.848,-78.848,-26.937,-26.937,,-26.937,-26.937,51.911,,51.911,51.911,,
Biologia (Bacharelado),EP_R1_NPPI_PCD,1,6.759,6.759,,6.759,6.759,6.759,6.759,,6.759,6.759,0.0,,0.0,0.0,,
Biologia (Bacharelado),EP_R1_PPI,3,-16.435,-4.111,22.522,-42.429,-2.765,29.229,3.96,52.74,-6.123,89.849,45.664,43.041,8.071,92.614,-137.034,180.44
Biologia (Bacharelado),EP_R2_NPPI,4,19.414,15.751,16.807,5.725,40.429,32.766,30.722,5.263,29.19,40.429,13.352,13.313,0.0,26.268,86.573,16.062
Biologia (Bacharelado),EP_R2_NPPIQ,1,29.597,29.597,,29.597,29.597,56.051,56.051,,56.051,56.051,26.454,,26.454,26.454,,
Biologia (Bacharelado),EP_R2_NPPI_PCD,1,-25.671,-25.671,,-25.671,-25.671,-25.671,-25.671,,-25.671,-25.671,0.0,,0.0,0.0,,
Biologia (Bacharelado),EP_R2_PPI,4,-37.745,-45.39,42.038,-80.211,20.011,-3.564,0.64,47.114,-58.11,42.573,34.18,33.383,8.196,83.193,-111.373,-1321.842
Biologia (Bacharelado),EP_R2_PPIQ,1,-67.982,-67.982,,-67.982,-67.982,8.016,8.016,,8.016,8.016,75.998,,75.998,75.998,,
Biologia (Licenciatura),AC,6,-2.891,-6.686,36.094,-36.584,61.373,90.666,67.671,48.096,45.635,143.74,95.325,45.825,66.314,176.257,-1248.497,53.047
Biologia (Licenciatura),CN,4,19.768,25.225,29.322,-17.183,45.804,26.315,38.32,29.275,-17.183,45.804,6.547,13.094,0.0,26.189,148.335,111.249
Biologia (Licenciatura),EP_R1_NPPI,4,-14.96,-26.202,37.048,-45.443,38.006,9.148,7.169,32.513,-25.456,47.711,24.108,12.983,9.705,40.776,-247.64,355.397
Biologia (Licenciatura),EP_R1_PPI,4,-38.388,-32.04,16.779,-57.415,-25.71,-8.992,-12.276,31.376,-43.489,32.075,28.741,25.155,13.926,57.785,-43.708,-348.938
Biologia (Licenciatura),EP_R2_NPPI,5,1.994,3.563,36.671,-44.203,51.276,14.836,18.629,38.545,-44.203,55.29,12.842,17.042,0.0,38.999,1839.26,259.814
Biologia (Licenciatura),EP_R2_NPPIQ,1,-40.608,-40.608,,-40.608,-40.608,7.61,7.61,,7.61,7.61,48.218,,48.218,48.218,,
Biologia (Licenciatura),EP_R2_PPI,5,-16.177,-17.581,23.808,-43.355,21.358,4.503,9.672,22.789,-17.786,36.304,20.68,21.225,0.0,55.261,-147.177,506.082
Biotecnologia (Bacharelado),AC,6,46.788,62.272,38.337,-13.439,87.359,119.757,141.502,52.513,20.763,157.41,72.969,22.712,34.202,93.382,81.938,43.849
Biotecnologia (Bacharelado),CN,5,37.907,64.205,47.152,-40.953,72.345,45.805,64.205,31.273,-1.459,72.345,7.899,17.662,0.0,39.494,124.389,68.273
Biotecnologia (Bacharelado),EP_R1_NPPI,4,-45.11,-43.003,14.06,-62.356,-32.078,-3.959,-4.832,44.767,-50.648,44.477,41.151,51.566,0.0,106.833,-31.168,-1130.824
Biotecnologia (Bacharelado),EP_R1_NPPIQ,1,22.903,22.903,,22.903,22.903,22.903,22.903,,22.903,22.903,0.0,,0.0,0.0,,
Biotecnologia (Bacharelado),EP_R1_PPI,3,-34.343,-29.963,11.299,-47.176,-25.889,2.838,12.895,45.82,-47.176,42.794,37.18,34.692,0.0,68.683,-32.901,1614.722
Biotecnologia (Bacharelado),EP_R2_NPPI,5,-7.042,2.909,63.585,-84.167,55.938,51.173,32.963,59.689,-24.822,130.314,58.215,29.145,26.069,93.361,-902.894,116.641
Biotecnologia (Bacharelado),EP_R2_NPPIQ,1,-36.957,-36.957,,-36.957,-36.957,43.54,43.54,,43.54,43.54,80.497,,80.497,80.497,,
Biotecnologia (Bacharelado),EP_R2_PPI,4,-32.611,-33.354,18.598,-53.337,-10.399,44.408,49.711,53.883,-25.817,104.025,77.018,53.508,0.0,114.424,-57.03,121.337
Biotecnologia (Bacharelado),EP_R2_PPIQ,1,-47.168,-47.168,,-47.168,-47.168,-47.168,-47.168,,-47.168,-47.168,0.0,,0.0,0.0,,
Ciência Política (Bacharelado),AC,6,31.668,49.195,31.588,-16.226,55.467,95.834,111.566,37.561,27.872,128.48,64.165,40.28,25.819,134.802,99.746,39.194
Ciência Política (Bacharelado),CN,6,19.562,11.203,29.263,-6.889,59.772,31.256,36.141,30.811,-6.889,63.804,11.694,28.644,0.0,70.164,149.594,98.577
Ciência Política (Bacharelado),EP_R1_NPPI,4,-29.484,-25.849,10.338,-44.5,-21.736,-7.882,-9.546,20.566,-27.935,15.499,21.601,15.687,0.0,37.235,-35.065,-260.914
Ciência Política (Bacharelado),EP_R1_NPPIQ,1,-33.164,-33.164,,-33.164,-33.164,-3.3,-3.3,,-3.3,-3.3,29.864,,29.864,29.864,,
Ciência Política (Bacharelado),EP_R1_PPI,4,-20.308,-18.14,7.598,-30.87,-14.082,6.288,0.66,25.527,-18.086,41.919,26.597,20.471,12.469,56.001,-37.412,405.937
Ciência Política (Bacharelado),EP_R2_NPPI,4,-16.566,-17.317,26.551,-48.057,16.428,23.508,23.241,2.775,20.572,26.979,40.074,27.235,5.743,72.368,-160.279,11.804
Ciência Política (Bacharelado),EP_R2_NPPIQ,1,13.769,13.769,,13.769,13.769,47.698,47.698,,47.698,47.698,33.929,,33.929,33.929,,
Ciência Política (Bacharelado),EP_R2_NPPIQ_PCD,1,-31.841,-31.841,,-31.841,-31.841,-24.216,-24.216,,-24.216,-24.216,7.625,,7.625,7.625,,
Ciência Política (Bacharelado),EP_R2_PPI,4,-49.211,-48.837,15.397,-68.378,-30.791,11.828,0.267,29.561,-8.471,55.251,61.039,41.813,36.377,123.629,-31.287,249.911
Ciência Política (Bacharelado),EP_R2_PPIQ,1,-37.151,-37.151,,-37.151,-37.151,-5.97,-5.97,,-5.97,-5.97,31.181,,31.181,31.181,,
Ciência da Computação (Bacharelado),AC,6,120.698,125.414,24.633,78.303,143.984,163.997,167.532,25.869,126.56,192.19,43.299,23.276,14.921,77.19,20.409,15.774
Ciência da Computação (Bacharelado),CN,6,89.841,87.318,33.759,44.904,137.024,91.971,87.318,30.614,57.682,137.024,2.13,5.217,0.0,12.778,37.577,33.287
