Curso,Campus,Turno,Modalidade,Histórico (mín.),Histórico (máx.),Última nota mínima,Última nota máxima,Previsão mínima,Previsão máxima,Intervalo previsto,Desvio (mín.),Desvio (máx.),Modelos (mín.),Modelos (máx.),Confiabilidade (mín.),Confiabilidade (máx.),Tendência (mín.),Tendência (máx.)
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,1,49.82,61.77,49.82,61.77,11.95,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,1,18.42,53.97,18.42,53.97,35.55,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,AC,1,1,19.18,76.57,19.18,76.57,57.39,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,CN,1,1,-2.69,-2.69,-2.69,-2.69,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,1,1,-2.82,12.72,-2.82,12.72,15.53,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,1,1,-46.6,-28.78,-46.6,-28.78,17.82,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,1,1,-14.08,12.44,-14.08,12.44,26.52,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,1,1,-10.97,-10.97,-10.97,-10.97,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,5,5,98.05,146.3,92.09,129.05,36.96,6.11,12.29,4,4,Moderada,Moderada,Forte queda,Forte queda
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,5,5,65.15,65.15,61.06,60.0,-1.06,6.59,6.14,4,4,Moderada,Moderada,Queda,Forte queda
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,3,3,-14.42,58.51,10.39,78.73,68.34,25.85,35.06,4,4,Moderada,Moderada,Forte alta,Forte alta
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPIQ,1,1,-32.38,4.51,-32.38,4.51,36.88,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,3,3,-23.28,23.16,-17.46,30.67,48.12,7.6,5.99,4,4,Moderada,Moderada,Forte alta,Forte alta
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,4,4,-33.97,4.71,-8.53,28.42,36.95,25.74,22.51,4,4,Moderada,Moderada,Forte alta,Forte alta
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ,1,1,65.5,97.82,65.5,97.82,32.32,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,3,3,-10.14,15.25,0.89,25.01,24.11,10.95,7.56,4,4,Moderada,Moderada,Forte alta,Forte alta
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPIQ,1,1,12.66,61.49,12.66,61.49,48.83,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,AC,5,5,48.14,74.13,46.0,60.9,14.9,11.28,9.08,4,4,Moderada,Moderada,Queda,Forte queda
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,CN,5,5,23.27,23.27,19.67,17.82,-1.85,23.6,21.7,4,4,Moderada,Moderada,Queda,Forte queda
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_NPPI,2,2,-19.79,-19.79,-12.25,-24.0,-11.75,18.47,10.31,4,4,Moderada,Moderada,Forte alta,Queda
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_PPI,2,2,-20.26,-20.26,-25.97,-25.97,0.0,9.42,9.42,4,4,Moderada,Moderada,Forte queda,Forte queda
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPI,3,3,-44.02,37.83,-43.44,30.42,73.86,5.18,9.18,4,4,Moderada,Moderada,Estável,Forte queda
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPIQ,1,1,-57.5,11.92,-57.5,11.92,69.42,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_PPI,3,3,-39.05,-39.05,-54.63,-34.22,20.42,13.7,7.22,4,4,Moderada,Moderada,Forte queda,Alta
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,AC,1,1,-70.17,-5.3,-70.17,-5.3,64.88,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,CN,1,1,-72.96,-72.96,-72.96,-72.96,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,1,1,-59.09,-59.09,-59.09,-59.09,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquivologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,AC,4,4,-57.87,41.33,-60.49,36.06,96.55,3.08,11.99,4,4,Alta,Moderada,Queda,Forte queda
Arquivologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,CN,2,2,10.22,10.22,23.8,23.8,0.0,33.25,33.25,4,4,Moderada,Moderada,Forte alta,Forte alta
Arquivologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_NPPI,2,2,-30.72,-19.2,-23.53,-7.21,16.32,11.86,19.77,4,4,Moderada,Moderada,Forte alta,Forte alta
Arquivologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPI,2,2,-34.65,-30.38,-32.89,-28.27,4.62,6.74,8.1,4,4,Moderada,Moderada,Alta,Alta
Arquivologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPIQ,1,1,-70.62,-31.33,-70.62,-31.33,39.29,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquivologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_PPI,2,2,-66.41,-66.41,-71.44,-71.77,-0.32,12.32,13.12,4,4,Moderada,Moderada,Forte queda,Forte queda
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,AC,1,1,-31.86,22.84,-31.86,22.84,54.71,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1,1,0.43,0.43,0.43,0.43,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,5,5,23.68,42.35,30.89,36.16,5.27,17.17,6.88,4,4,Moderada,Moderada,Forte alta,Forte queda
Artes Cênicas (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,1,1,-64.51,-64.51,-64.51,-64.51,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,2,2,-42.49,-42.49,-45.55,-45.55,0.0,11.73,11.73,4,4,Moderada,Moderada,Queda,Queda
Artes Cênicas (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,3,3,-19.88,-1.83,-21.32,-6.22,15.1,9.23,6.35,4,4,Moderada,Moderada,Queda,Queda
Artes Cênicas (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ,1,1,-30.79,18.16,-30.79,18.16,48.96,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ_PCD,1,1,-33.37,-33.37,-33.37,-33.37,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,1,1,-58.97,-58.97,-58.97,-58.97,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,1,1,-12.38,29.58,-12.38,29.58,41.96,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ,1,1,-49.81,-49.81,-49.81,-49.81,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPIQ,1,1,-62.34,-53.52,-62.34,-53.52,8.82,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Noturno,AC,1,1,-53.38,16.73,-53.38,16.73,70.1,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,AC,1,1,18.63,18.63,18.63,18.63,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R2_PPI,1,1,-49.62,-49.62,-49.62,-49.62,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,EP_R1_PPI,1,1,-10.8,-10.8,-10.8,-10.8,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Literatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,3,3,-1.08,21.88,-4.5,42.37,46.87,14.7,15.89,4,4,Moderada,Moderada,Queda,Forte alta
Artes Cênicas (Literatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,2,2,-42.06,-5.06,-65.82,-13.41,52.41,39.19,13.77,4,4,Moderada,Moderada,Forte queda,Forte queda
Artes Cênicas (Literatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,1,1,-21.57,-21.57,-21.57,-21.57,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Literatura),Darcy Ribeiro (Plano Piloto) / DF,Noturno,AC,1,1,-68.86,25.47,-68.86,25.47,94.33,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Cênicas (Literatura),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPI,1,1,-68.55,-68.55,-68.55,-68.55,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,AC,1,1,-68.76,10.93,-68.76,10.93,79.69,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Visuais (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,5,5,13.22,75.06,8.69,57.78,49.09,9.5,12.15,4,4,Moderada,Moderada,Queda,Forte queda
Artes Visuais (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,1,1,-21.92,-21.92,-21.92,-21.92,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Visuais (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,3,3,-73.31,-3.22,-54.52,9.8,64.32,17.62,14.11,4,4,Moderada,Moderada,Forte alta,Forte alta
Artes Visuais (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ,1,1,-64.31,-16.57,-64.31,-16.57,47.74,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Visuais (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,3,3,-7.96,70.75,-17.07,73.46,90.53,18.36,11.58,4,4,Moderada,Moderada,Forte queda,Alta
Artes Visuais (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,2,2,-33.24,-33.24,-33.34,-33.34,0.0,0.66,0.66,4,4,Moderada,Moderada,Estável,Estável
Artes Visuais (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,1,1,-23.75,-23.75,-23.75,-23.75,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Visuais (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,1,1,-23.12,-23.12,-23.12,-23.12,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Artes Visuais (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,3,3,-59.58,-16.76,-64.51,-13.28,51.24,24.27,14.61,4,4,Moderada,Moderada,Queda,Alta
Artes Visuais (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,2,2,-22.14,-22.14,-22.84,-22.84,0.0,1.7,1.7,4,4,Moderada,Moderada,Estável,Estável
Artes Visuais (Licenciatura),Darcy Ribeiro (Plano Piloto) / DF,Noturno,AC,1,1,-13.5,-13.5,-13.5,-13.5,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,AC,1,1,-80.94,60.65,-80.94,60.65,141.58,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,CN,1,1,-13.88,-13.88,-13.88,-13.88,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,1,-36.51,-15.88,-36.51,-15.88,20.62,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1,1,-41.52,-41.52,-41.52,-41.52,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,1,-10.26,9.48,-10.26,9.48,19.74,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,1,-9.93,-9.93,-9.93,-9.93,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Biblioteconomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,4,4,-57.49,36.28,-66.62,36.89,103.51,7.96,4.89,4,4,Moderada,Moderada,Forte queda,Estável
Biblioteconomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,3,3,-46.4,-46.4,-49.12,-49.12,0.0,9.0,9.0,4,4,Moderada,Moderada,Queda,Queda
Biblioteconomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,2,2,-15.52,-15.52,8.2,-7.59,-15.79,39.12,13.08,4,4,Moderada,Moderada,Forte alta,Forte alta
Biblioteconomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,1,1,-59.32,-59.32,-59.32,-59.32,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Biblioteconomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,3,3,-30.85,22.65,-40.14,36.8,76.94,8.01,16.26,4,4,Moderada,Moderada,Forte queda,Forte alta
Biblioteconomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ,1,1,-54.55,-52.73,-54.55,-52.73,1.82,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Biblioteconomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,2,2,-45.65,-45.65,-45.91,-45.91,0.0,0.42,0.42,4,4,Moderada,Moderada,Estável,Estável
Biologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,5,5,78.79,119.24,76.17,106.6,30.42,4.55,11.95,4,4,Moderada,Moderada,Queda,Forte queda
Biologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,5,5,29.65,29.65,17.76,16.6,-1.16,8.49,8.84,4,4,Moderada,Moderada,Forte queda,Forte queda
