subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,Engenharia Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,5.744,5.744
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,Engenharia Química (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,51.716,135.786
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Estatística (Bacharelado),Diurno,Estatística (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-34.447,-34.447
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Estatística (Bacharelado),Diurno,Estatística (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-27.068,22.541
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Estatística (Bacharelado),Diurno,Estatística (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,8.239,8.239
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Estatística (Bacharelado),Diurno,Estatística (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,14.483,111.408
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-45.41,3.367
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-19.971,38.952
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,50.704,50.704
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,1.0,NPPIQ,True,0.119,0.119
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,15.902,15.902
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,51.18,93.959
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,Farmácia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-32.371,-7.88
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,Farmácia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-46.669,-21.564
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,Farmácia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-10.117,7.338
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,Farmácia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,18.047,45.641
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Bacharelado/Licenciatura),Diurno,Filosofia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-100.426,-3.548
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Licenciatura),Noturno,Filosofia (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-52.159,5.216
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-15.865,-15.865
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-29.298,5.538
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,14.167,97.592
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Física (Licenciatura),Noturno,Física (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-62.273,125.678
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Geofísica (Bacharelado),Diurno,Geofísica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-47.993,45.309
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Geografia (Bacharelado/Licenciatura),Diurno,Geografia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-66.839,-44.521
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Geografia (Bacharelado/Licenciatura),Diurno,Geografia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-90.016,129.343
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Geologia (Bacharelado),Diurno,Geologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-63.489,80.103
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Agronegócio (Bacharelado),Noturno,Gestão de Agronegócio (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-46.176,16.69
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,Gestão de Políticas Públicas (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-34.132,-29.67
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,Gestão de Políticas Públicas (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-50.028,-41.002
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,Gestão de Políticas Públicas (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-39.713,-11.757
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,Gestão de Políticas Públicas (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-10.584,-10.584
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,Gestão de Políticas Públicas (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-2.832,64.854
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-17.032,14.503
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-31.06,16.426
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ_PCD,EP_R2_PPIQ_PCD,True,R2,1.0,PPIQ,True,-30.955,-30.955
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,21.418,21.418
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,1.0,NPPIQ,True,-4.958,-4.958
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-27.232,-27.232
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,47.472,96.499
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-61.207,-26.631
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-27.164,-27.164
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-85.388,45.426
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-37.174,-31.769
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-49.264,20.148
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,41.607,41.607
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,52.71,52.71
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,85.895,103.7
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Letras Português do Brasil como Seg. Língua (Licenciatura),Diurno,Letras Português do Brasil como Seg. Língua (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-75.904,-4.147
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Letras Tradução Espanhol (Bacharelado),Noturno,Letras Tradução Espanhol (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-56.271,-56.271
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Letras Tradução Francês (Bacharelado),Diurno,Letras Tradução Francês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-18.595,-18.595
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Letras Tradução Inglês (Bacharelado),Diurno,Letras Tradução Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-59.741,-59.741
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Letras Tradução Inglês (Bacharelado),Diurno,Letras Tradução Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,1.0,NPPIQ,True,-20.506,-20.506
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Letras Tradução Inglês (Bacharelado),Diurno,Letras Tradução Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-75.983,32.724
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Língua e Literatura Japonesa (Licenciatura),Noturno,Língua e Literatura Japonesa (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-83.555,-45.663
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Língua Espanhola e Literatura Espanhola e Hispano - Americana (Licenciatura),Noturno,Língua Espanhola e Literatura Espanhola e Hispano - Americana (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-79.029,-60.693
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Língua Francesa (Bacharelado/ Licenciatura),Diurno,Língua Francesa (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-87.339,-26.043
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa (Bacharelado/ Licenciatura),Diurno,Língua Inglesa (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-34.486,-34.486
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa (Bacharelado/ Licenciatura),Diurno,Língua Inglesa (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-14.226,12.035
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa (Bacharelado/ Licenciatura),Diurno,Língua Inglesa (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,15.306,83.036
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa (Bacharelado/ Licenciatura),Diurno,Língua Portuguesa (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-21.143,-21.143
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa (Bacharelado/ Licenciatura),Diurno,Língua Portuguesa (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-30.58,-30.58
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa (Bacharelado/ Licenciatura),Diurno,Língua Portuguesa (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-39.521,-1.814
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa (Bacharelado/ Licenciatura),Diurno,Língua Portuguesa (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,30.129,30.129
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa (Bacharelado/ Licenciatura),Diurno,Língua Portuguesa (Bacharelado/ Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,46.683,88.696
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa (Licenciatura),Noturno,Língua Portuguesa (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-56.955,23.041
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Línguas Estrangeiras Aplicadas (Bacharelado),Diurno,Línguas Estrangeiras Aplicadas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-67.757,-67.757
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Línguas Estrangeiras Aplicadas (Bacharelado),Diurno,Línguas Estrangeiras Aplicadas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-60.26,-0.938
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Bacharelado/Licenciatura),Diurno,Matemática (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-29.962,-29.962
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Bacharelado/Licenciatura),Diurno,Matemática (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-20.656,-20.656
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Bacharelado/Licenciatura),Diurno,Matemática (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-31.236,-31.236
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Bacharelado/Licenciatura),Diurno,Matemática (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-20.737,105.88
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Licenciatura),Noturno,Matemática (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-64.383,-64.383
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Matemática (Licenciatura),Noturno,Matemática (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-51.641,31.378
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPIQ,EP_R1_PPIQ,True,R1,1.0,PPIQ,False,81.446,96.795
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,98.649,98.649
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ_PCD,EP_R1_NPPIQ_PCD,True,R1,1.0,NPPIQ,True,46.775,46.775
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,115.802,119.954
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ_PCD,EP_R2_PPIQ_PCD,True,R2,1.0,PPIQ,True,-27.585,-2.377
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,162.281,162.281
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,1.0,NPPIQ,True,103.215,103.215
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,120.046,120.046
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina (Bacharelado),Diurno,Medicina (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,166.75,190.334
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,Medicina Veterinária (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPIQ,EP_R1_PPIQ,True,R1,1.0,PPIQ,False,-40.556,10.004
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,Medicina Veterinária (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-18.653,20.35
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,Medicina Veterinária (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,11.522,23.973
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,Medicina Veterinária (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,53.433,53.433
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,Medicina Veterinária (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,1.0,NPPIQ,True,-34.547,-34.547
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,Medicina Veterinária (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,55.857,55.857
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,Medicina Veterinária (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,66.643,99.685
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Museologia (Bacharelado),Diurno,Museologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-79.405,19.145
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Música (Bacharelado)*,Diurno,Música (Bacharelado)* | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-2.409,65.653
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Música (Licenciatura)*,Diurno,Música (Licenciatura)* | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-15.971,132.273
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,Nutrição (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPIQ,EP_R1_PPIQ,True,R1,1.0,PPIQ,False,-31.894,-31.894
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,Nutrição (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-26.223,13.911
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,Nutrição (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-7.668,10.936
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,Nutrição (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,31.534,31.534
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,Nutrição (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,50.784,50.784
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,Nutrição (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,70.097,99.32
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,Odontologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPIQ,EP_R1_PPIQ,True,R1,1.0,PPIQ,False,-62.296,-47.773
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,Odontologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-36.853,-34.533
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,Odontologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-28.308,0.733
