subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,Arquitetura e Urbanismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,98.047,146.303
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,Arquitetura e Urbanismo (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-57.497,11.923
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,Arquitetura e Urbanismo (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,23.271,23.271
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,Arquitetura e Urbanismo (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,48.138,74.131
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquivologia (Bacharelado),Noturno,Arquivologia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-70.619,-31.332
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquivologia (Bacharelado),Noturno,Arquivologia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-57.868,41.329
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas (Bacharelado),Diurno,Artes Cênicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-30.791,18.165
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas (Bacharelado),Diurno,Artes Cênicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,1.0,NPPIQ,True,-33.372,-33.372
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas (Bacharelado),Diurno,Artes Cênicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,23.679,42.35
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas (Licenciatura),Diurno,Artes Cênicas (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-62.337,-53.522
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas (Licenciatura),Diurno,Artes Cênicas (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-49.808,-49.808
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas (Licenciatura),Diurno,Artes Cênicas (Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-12.384,29.579
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas (Licenciatura),Noturno,Artes Cênicas (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-53.375,16.725
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais (Bacharelado),Diurno,Artes Visuais (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-64.314,-16.574
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais (Bacharelado),Diurno,Artes Visuais (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-21.925,-21.925
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais (Bacharelado),Diurno,Artes Visuais (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,13.225,75.062
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Biblioteconomia (Bacharelado),Diurno,Biblioteconomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-54.547,-52.729
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Biblioteconomia (Bacharelado),Diurno,Biblioteconomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-46.402,-46.402
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Biblioteconomia (Bacharelado),Diurno,Biblioteconomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-57.49,36.282
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,22.903,22.903
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-47.168,-47.168
