subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-27.935,-27.935
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-50.288,-8.471
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-13.224,26.979
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,47.264,128.48
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais,Noturno,Ciências Ambientais | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-16.032,-16.032
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais,Noturno,Ciências Ambientais | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-15.686,-15.686
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais,Noturno,Ciências Ambientais | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-63.616,118.33
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas,Diurno,Ciências Biológicas | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,45.804,45.804
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas,Diurno,Ciências Biológicas | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,,-7.024
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas,Diurno,Ciências Biológicas | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,38.006,47.711
