subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,Arquitetura e Urbanismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,53.175,53.175
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,Arquitetura e Urbanismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,89.757,125.136
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,Arquitetura e Urbanismo (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-20.256,-20.256
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,Arquitetura e Urbanismo (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-39.05,-39.05
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,Arquitetura e Urbanismo (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-44.019,37.832
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,Arquitetura e Urbanismo (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-49.856,-49.856
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,Arquitetura e Urbanismo (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,61.623,87.641
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquivologia (Bacharelado),Noturno,Arquivologia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-30.721,-19.2
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquivologia (Bacharelado),Noturno,Arquivologia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-34.645,-30.382
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquivologia (Bacharelado),Noturno,Arquivologia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-55.63,-13.001
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas - Interpretação Teatral (Bacharelado),Diurno,Artes Cênicas - Interpretação Teatral (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-42.49,-42.49
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas - Interpretação Teatral (Bacharelado),Diurno,Artes Cênicas - Interpretação Teatral (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-64.508,-64.508
