subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-13.439,20.763
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-18.098,-7.693
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,8.647,18.344
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-12.086,22.791
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,77.535,77.535
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI_PCD,EP_R2_NPPI_PCD,True,R2,1.5,NPPI,True,-10.517,-10.517
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,64.835,64.835
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,111.639,126.56
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-1.435,-1.435
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-0.707,27.872
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-64.765,-36.085
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-80.211,-58.11
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,5.963,29.19
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-29.292,-29.292
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,48.174,55.263
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,Ciências Contábeis (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-75.965,-49.701
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Diurno,Ciências Contábeis (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-102.261,-10.335
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-56.632,-56.632
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-64.258,-22.961
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,38.698,38.698
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Ciências Econômicas (Bacharelado),Diurno,Ciências Econômicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,50.313,75.802
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Computação (Licenciatura),Noturno,Computação (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-105.03,-44.569
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Organizacional (Bacharelado),Noturno,Comunicação Organizacional (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-98.302,-18.384
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,Comunicação Social – Audiovisual (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-42.029,-0.538
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,Comunicação Social – Audiovisual (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,2.287,2.287
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,Comunicação Social – Audiovisual (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,39.969,57.784
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-39.668,-12.554
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-45.956,-45.956
