subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Inglês (Bacharelado),Diurno,Letras – Tradução – Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-66.721,14.502
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Inglês (Bacharelado),Diurno,Letras – Tradução – Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-50.511,-13.166
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Inglês (Bacharelado),Diurno,Letras – Tradução – Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-73.348,38.784
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Francês (Bacharelado),Diurno,Letras – Tradução – Francês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-28.725,-28.725
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Francês (Bacharelado),Diurno,Letras – Tradução – Francês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-67.216,-67.216
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Língua e Literatura Japonesa (Licenciatura),Noturno,Língua e Literatura Japonesa (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-70.486,-70.486
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Língua e Literatura Japonesa (Licenciatura),Noturno,Língua e Literatura Japonesa (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-60.848,-60.848
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-33.726,5.966
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-5.156,32.83
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-8.237,129.024
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,27.299,30.337
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Mecânica (Bacharelado),Diurno,Engenharia Mecânica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-102.234,142.555
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquivologia (Bacharelado),Noturno,Arquivologia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-36.22,-34.267
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquivologia (Bacharelado),Noturno,Arquivologia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-55.757,-55.757
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquivologia (Bacharelado),Noturno,Arquivologia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-71.228,-71.228
