subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,Farmácia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,1.833,15.434
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Bacharelado/Licenciatura),Diurno,Filosofia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-55.356,-55.356
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Bacharelado/Licenciatura),Diurno,Filosofia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-24.861,-18.079
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Bacharelado/Licenciatura),Diurno,Filosofia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-36.86,29.673
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Bacharelado/Licenciatura),Diurno,Filosofia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-65.778,92.933
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Licenciatura),Noturno,Filosofia (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-20.759,-20.759
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Licenciatura),Noturno,Filosofia (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-30.212,2.725
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,72.767,72.767
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-20.071,43.762
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-19.355,-19.355
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-72.92,99.501
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,60.143,60.143
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,Física (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,18.948,130.469
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Geofísica (Bacharelado),Diurno,Geofísica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-16.259,-16.259
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Geofísica (Bacharelado),Diurno,Geofísica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-40.118,-40.118
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Geofísica (Bacharelado),Diurno,Geofísica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-30.09,113.042
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Geografia (Bacharelado/Licenciatura),Diurno,Geografia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-35.349,-13.749
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Geografia (Bacharelado/Licenciatura),Diurno,Geografia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-16.626,-16.626
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Geografia (Bacharelado/Licenciatura),Diurno,Geografia (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-23.824,96.723
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Geologia (Bacharelado),Diurno,Geologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-14.615,-14.615
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Geologia (Bacharelado),Diurno,Geologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-34.358,-10.741
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Geologia (Bacharelado),Diurno,Geologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-36.67,-36.67
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Geologia (Bacharelado),Diurno,Geologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-54.123,77.924
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Agronegócio (Bacharelado),Noturno,Gestão de Agronegócio (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-60.214,-19.741
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,Gestão de Políticas Públicas (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-45.045,-45.045
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,Gestão de Políticas Públicas (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-40.811,-40.811
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,Gestão de Políticas Públicas (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-26.029,-6.666
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,Gestão de Políticas Públicas (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-18.676,-18.676
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,Gestão de Políticas Públicas (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-65.744,40.755
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-7.038,38.18
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-9.575,-2.267
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-35.056,-16.391
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,19.641,34.497
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-36.358,-36.358
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,História (Bacharelado/Licenciatura),Diurno,História (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,41.891,79.295
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-43.023,-43.023
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,9.29,9.29
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-24.296,-9.636
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-67.087,59.169
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-36.033,-15.391
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,1.728,1.728
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-13.155,4.752
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,66.914,66.914
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,29.956,29.956
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Jornalismo (Bacharelado),Diurno,Jornalismo (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,81.218,107.228
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Português do Brasil como Segunda Língua,Diurno,Letras – Português do Brasil como Segunda Língua | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-55.76,-55.76
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Português do Brasil como Segunda Língua,Diurno,Letras – Português do Brasil como Segunda Língua | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,3.895,3.895
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Português do Brasil como Segunda Língua,Diurno,Letras – Português do Brasil como Segunda Língua | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-4.691,-4.691
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Português do Brasil como Segunda Língua,Diurno,Letras – Português do Brasil como Segunda Língua | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-27.202,-27.202
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Português do Brasil como Segunda Língua,Diurno,Letras – Português do Brasil como Segunda Língua | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-30.519,48.382
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Francês (Bacharelado),Diurno,Letras – Tradução – Francês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-75.823,8.992
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Inglês (Bacharelado),Diurno,Letras – Tradução – Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-61.692,-35.869
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Inglês (Bacharelado),Diurno,Letras – Tradução – Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,21.242,21.242
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Inglês (Bacharelado),Diurno,Letras – Tradução – Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-62.082,1.315
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Inglês (Bacharelado),Diurno,Letras – Tradução – Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,2.713,2.713
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Inglês (Bacharelado),Diurno,Letras – Tradução – Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-3.039,-3.039
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução – Inglês (Bacharelado),Diurno,Letras – Tradução – Inglês (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,13.43,119.299
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Letras – Tradução Espanhol (Bacharelado),Noturno,Letras – Tradução Espanhol (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-80.944,-52.043
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Artes Cênicas*,Diurno,Licenciatura em Artes Cênicas* | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,14.969,14.969
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Artes Cênicas*,Diurno,Licenciatura em Artes Cênicas* | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-21.566,-21.566
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Artes Cênicas*,Diurno,Licenciatura em Artes Cênicas* | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-49.27,96.437
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Ciências Biológicas,Noturno,Licenciatura em Ciências Biológicas | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-45.443,-25.456
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Ciências Biológicas,Noturno,Licenciatura em Ciências Biológicas | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-43.355,11.906
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Ciências Biológicas,Noturno,Licenciatura em Ciências Biológicas | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-44.203,-44.203
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Ciências Biológicas,Noturno,Licenciatura em Ciências Biológicas | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-34.711,141.546
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Física,Noturno,Licenciatura em Física | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-59.91,26.842
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Física,Noturno,Licenciatura em Física | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-46.226,-46.226
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Física,Noturno,Licenciatura em Física | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-76.547,52.384
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Matemática,Noturno,Licenciatura em Matemática | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,23.101,23.101
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Matemática,Noturno,Licenciatura em Matemática | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-33.505,-15.931
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Matemática,Noturno,Licenciatura em Matemática | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-50.656,42.289
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Química,Noturno,Licenciatura em Química | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-35.787,12.099
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Química,Noturno,Licenciatura em Química | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-30.664,-30.664
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Química,Noturno,Licenciatura em Química | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,0.306,40.6
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua e Literatura Japonesa (Licenciatura),Noturno,Língua e Literatura Japonesa (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-19.674,-19.674
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua e Literatura Japonesa (Licenciatura),Noturno,Língua e Literatura Japonesa (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-59.483,-59.483
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua e Literatura Japonesa (Licenciatura),Noturno,Língua e Literatura Japonesa (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-53.013,-0.264
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura),Noturno,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-38.583,-38.583
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura),Noturno,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-47.192,21.384
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura),Noturno,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-71.142,-27.428
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),Diurno,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-76.629,5.904
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),Diurno,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-2.629,16.552
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),Diurno,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,44.585,44.585
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),Diurno,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-32.749,50.344
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-80.307,-20.312
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-62.811,-4.072
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-30.613,2.775
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-12.715,-12.715
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,4.915,43.669
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,30.669,30.669
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,26.727,26.727
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,22.431,60.504
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-3.737,-3.737
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-16.142,30.504
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-75.985,-51.065
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,20.613,20.613
2020-2022,2022,Darcy Ribeiro (Plano Piloto) / DF,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Diurno,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,5.699,5.699
