Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Ciências Naturais (Licenciatura),Planaltina,Noturno,AC,3,2019-2021,2021-2023,24.637999999999998,12.318999999999992,False
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,AC,3,2018-2020,2022-2024,48.1,12.025000000000006,False
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,2018-2020,2021-2023,35.94799999999999,11.82357142857142,False
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,37.587,11.566300000000004,False
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,2018-2020,2020-2022,23.087,11.543499999999996,False
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,3,2018-2020,2021-2023,42.993,11.102,False
Química (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,2018-2020,2021-2023,51.016999999999996,11.090500000000004,False
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,53.016000000000005,11.037600000000001,False
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,39.037000000000006,10.704600000000003,False
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,2018-2020,2020-2022,21.287000000000003,10.643500000000005,False
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,2018-2020,2020-2022,21.064,10.532000000000004,False
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,2019-2021,2021-2023,20.982000000000003,10.490999999999978,False
Turismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,2018-2020,2021-2023,22.144,9.973857142857137,False
Engenharias (FGA),Gama,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,36.199000000000005,9.930400000000002,False
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,2018-2020,2020-2022,19.720000000000002,9.860000000000001,False
Museologia (Bacharelado),Darcy Ribeiro,Diurno,CN,3,2018-2020,2021-2023,29.409000000000006,9.852428571428565,False
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3,2018-2020,2020-2022,18.64399999999999,9.322,False
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,3,2018-2020,2021-2023,24.645000000000003,9.178214285714283,False
Geologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,2018-2020,2021-2023,37.673,9.006928571428572,False
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,15.073999999999998,8.816000000000006,False
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,19.811,8.75049999999999,False
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,CN,3,2018-2020,2021-2023,30.464,8.608999999999996,False
Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,AC,4,2018-2020,2021-2023,51.088,8.536700000000003,False
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,25.955,8.441099999999995,False
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,32.202,8.399299999999998,False
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,4,2018-2020,2021-2023,18.975,8.386600000000008,False
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,47.881,8.080599999999997,False
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,2019-2021,2021-2023,15.557,7.778499999999986,False
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3,2018-2020,2021-2023,21.111999999999995,7.778357142857132,False
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,2,2018-2020,2021-2023,23.199999999999996,7.733333333333334,False
Gestão Ambiental (Bacharelado),Planaltina,Noturno,AC,2,2018-2020,2020-2022,15.395000000000003,7.697500000000002,False
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,25.239000000000004,7.687800000000003,False
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,2,2018-2020,2020-2022,14.644999999999996,7.3225,False
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,46.378,7.1839,False
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,2018-2020,2021-2023,27.511,7.0717142857142825,False
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,3,2018-2020,2021-2023,25.375,6.797857142857143,False
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,31.403,6.7822999999999976,False
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,23.505,6.6597000000000035,False
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,2019-2021,2021-2023,13.277000000000001,6.6384999999999845,False
