Curso,Campus,Turno,modalidade_normalizada,n_trienios
Biologia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,1
Biologia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,1
Biologia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,1
Biologia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,1
Biologia (Licenciatura),Darcy Ribeiro,Noturno,AC,5
Biologia (Licenciatura),Darcy Ribeiro,Noturno,CN,3
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,3
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,3
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,4
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,CN,5
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,5
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ,1
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
