Curso,Campus,Turno,modalidade_normalizada,n_trienios
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ,1
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ,1
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,AC,6
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,CN,5
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,AC,5
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,CN,5
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,3
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,3
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,4
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,AC,5
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,CN,6
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R1_NPPI_PCD,1
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R1_PPI,5
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R1_PPIQ,1
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R2_NPPI_PCD,1
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R2_PPI,5
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Química (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Química (Bacharelado),Darcy Ribeiro,Diurno,CN,5
Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3
Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1
Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Química (Licenciatura),Darcy Ribeiro,Noturno,AC,5
Química (Licenciatura),Darcy Ribeiro,Noturno,CN,1
Química (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,2
Química (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,1
Química (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4
Química (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,2
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,CN,2
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,2
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI_PCD,1
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,AC,5
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,CN,2
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI,3
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,EP_R1_PPI,2
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,4
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,EP_R2_PPI,3
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,AC,5
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,CN,2
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,2
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,2
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,CN,5
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,AC,5
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,CN,3
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,2
"Teoria, Crítica e História da Arte (Bacharelado)",Darcy Ribeiro,Noturno,AC,5
"Teoria, Crítica e História da Arte (Bacharelado)",Darcy Ribeiro,Noturno,CN,1
"Teoria, Crítica e História da Arte (Bacharelado)",Darcy Ribeiro,Noturno,EP_R1_PPI,1
"Teoria, Crítica e História da Arte (Bacharelado)",Darcy Ribeiro,Noturno,EP_R2_NPPI,1
"Teoria, Crítica e História da Arte (Bacharelado)",Darcy Ribeiro,Noturno,EP_R2_PPI,1
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,AC,6
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,CN,5
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI,4
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R1_NPPIQ,1
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R1_PPI,3
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,5
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ,1
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R2_PPI,3
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R2_PPIQ,1
Turismo (Bacharelado),Darcy Ribeiro,Diurno,AC,5
Turismo (Bacharelado),Darcy Ribeiro,Diurno,CN,4
Turismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3
Turismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1
Turismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Turismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1
