Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,41.199000000000005,2.5127428571428503,True
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2022-2024,0.23800000000000043,2.4561142857142824,True
Engenharias (FGA),Gama,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,10.265,2.1099000000000054,True
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2022-2024,-1.5050000000000026,2.078628571428567,True
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,31.948000000000008,1.9725428571428554,True
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,6.099999999999994,1.921400000000005,True
Física (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,63.344,1.9078513513513493,True
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,5,2018-2020,2022-2024,16.841,1.6760000000000026,True
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-2.4200000000000017,1.6347837837837815,True
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,CN,5,2018-2020,2023-2025,33.911,1.539945945945945,True
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,AC,5,2018-2020,2023-2025,14.073999999999998,1.475635135135131,True
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,43.004000000000005,1.4735714285714268,True
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,16.659,1.367000000000002,True
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,-9.437999999999999,1.2302000000000026,True
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,4.5360000000000005,1.1940000000000008,True
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,8.290999999999997,1.1823142857142857,True
Fisioterapia (Bacharelado),Ceilândia,Diurno,AC,6,2018-2020,2023-2025,24.648,1.1318857142857146,True
Administração (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,28.228,1.1214857142857124,True
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,40.852,1.0827999999999964,True
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,-10.672,1.0747999999999982,True
Computação (Licenciatura),Darcy Ribeiro,Noturno,CN,4,2019-2021,2023-2025,-20.467,1.0167714285714289,True
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2022-2024,-6.186999999999998,0.9750857142857154,True
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,94.317,0.9287428571428522,True
Enfermagem (Bacharelado),Ceilândia,Diurno,AC,6,2018-2020,2023-2025,18.845000000000002,0.9220857142857126,True
Gestão do Agronegócio (Bacharelado),Planaltina,Diurno,AC,5,2018-2020,2023-2025,-2.655000000000001,0.8462567567567499,True
