Curso,Campus,Turno,modalidade_normalizada
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R1_PPI
Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R2_NPPI
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,AC
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R2_NPPI_PCD
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Música (Licenciatura),Darcy Ribeiro,Diurno,AC
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,EP_R1_PPI
Engenharias (FGA),Gama,Diurno,EP_R2_PPIQ
Letras – Tradução – Espanhol (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,AC
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,AC
Letras – Tradução – Espanhol (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Química (Licenciatura),Darcy Ribeiro,Noturno,AC
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Biologia (Licenciatura),Darcy Ribeiro,Noturno,AC
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,AC
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI
Letras – Tradução – Espanhol (Bacharelado),Darcy Ribeiro,Noturno,AC
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,AC
Química (Licenciatura),Darcy Ribeiro,Noturno,CN
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Biologia (Licenciatura),Darcy Ribeiro,Noturno,CN
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,CN
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,CN
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,CN
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,CN
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN
Estatística (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R2_PPIQ
Letras – Tradução – Espanhol (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Japonês (Licenciatura),Darcy Ribeiro,Noturno,AC
"Teoria, Crítica e História da Arte (Bacharelado)",Darcy Ribeiro,Noturno,CN
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Ciências Naturais (Licenciatura),Planaltina,Noturno,AC
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,CN
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Japonês (Licenciatura),Darcy Ribeiro,Noturno,CN
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
