subprograma,campus,curso,turno,modalidade,nota_min,nota_max
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,EP_R2_NPPI,20.26,66.642
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,CN,54.94,84.963
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,AC,56.835,124.602
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Gestão Ambiental (Bacharelado),Noturno,AC,-62.155,-62.155
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,EP_R1_PPI,-58.894,24.588
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,EP_R1_NPPI,-26.556,13.018
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,EP_R2_PPI,-20.184,20.99
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,EP_R2_NPPI,-12.543,16.446
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,CN,31.111,61.195
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,AC,6.734,93.171
2018-2020,Gama / DF,Artes Visuais (Licenciatura)*,Diurno,EP_R1_PPI,-23.125,-23.125
2018-2020,Gama / DF,Artes Visuais (Licenciatura)*,Diurno,EP_R2_PPI,-17.979,-17.979
2018-2020,Gama / DF,Artes Visuais (Licenciatura)*,Diurno,EP_R2_NPPI,29.145,29.145
2018-2020,Gama / DF,Artes Visuais (Licenciatura)*,Diurno,CN,-30.845,-30.845
2018-2020,Gama / DF,Artes Visuais (Licenciatura)*,Diurno,AC,-56.057,28.223
2018-2020,Planaltina / DF,Música (Bacharelado)*,Diurno,AC,-29.764,-29.764
2018-2020,Planaltina / DF,Licenciatura em Artes Cênicas*,Diurno,AC,-52.165,19.702
2018-2020,Planaltina / DF,Educação Física (Licenciatura),Diurno,EP_R1_PPI,-101.251,-27.83
2018-2020,Planaltina / DF,Educação Física (Licenciatura),Diurno,EP_R1_NPPI,-43.227,-20.021
2018-2020,Planaltina / DF,Educação Física (Licenciatura),Diurno,EP_R2_PPI,-91.266,22.938
2018-2020,Planaltina / DF,Educação Física (Licenciatura),Diurno,EP_R2_NPPI,-70.759,-0.024
2018-2020,Planaltina / DF,Educação Física (Licenciatura),Diurno,CN,-20.627,-2.822
2018-2020,Planaltina / DF,Educação Física (Licenciatura),Diurno,AC,-64.096,10.409
2018-2020,Planaltina / DF,Agronomia (Bacharelado),Diurno,EP_R1_PPI,-73.408,-29.038
2018-2020,Planaltina / DF,Agronomia (Bacharelado),Diurno,EP_R1_NPPI,-64.547,-64.547
2018-2020,Planaltina / DF,Agronomia (Bacharelado),Diurno,EP_R2_PPI,-67.906,-36.5
2018-2020,Planaltina / DF,Agronomia (Bacharelado),Diurno,EP_R2_NPPI,-58.889,21.927
2018-2020,Planaltina / DF,Agronomia (Bacharelado),Diurno,CN,-56.023,-9.606
2018-2020,Planaltina / DF,Agronomia (Bacharelado),Diurno,AC,-82.562,39.359
