subprograma,campus,curso,turno,modalidade,nota_min,nota_max
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),Diurno,EP_R2_NPPI,-48.698,-10.814
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),Diurno,AC,-54.738,59.227
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,EP_R1_NPPI,-15.863,-15.863
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,EP_R2_PPI,-45.951,-23.355
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,EP_R2_NPPI,-14.794,1.282
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Ambiental (Bacharelado),Diurno,AC,-48.911,18.608
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Saúde Coletiva (Bacharelado),Noturno,EP_R2_PPI,-88.498,-45.444
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Saúde Coletiva (Bacharelado),Noturno,EP_R2_NPPI,-11.312,-11.312
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Saúde Coletiva (Bacharelado),Noturno,AC,-47.301,-5.412
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,EP_R1_PPI,-48.765,42.043
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,EP_R1_NPPI,21.849,57.888
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,EP_R2_PPI,29.357,66.986
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,EP_R2_NPPI,30.482,58.714
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,CN,78.514,98.713
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Odontologia (Bacharelado),Diurno,AC,49.534,136.8
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Organizacional (Bacharelado),Noturno,EP_R2_NPPI,-24.715,-24.715
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Organizacional (Bacharelado),Noturno,CN,-41.513,4.914
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Organizacional (Bacharelado),Noturno,AC,-60.884,61.325
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Biblioteconomia (Bacharelado),Diurno,EP_R2_NPPI,-18.898,-18.898
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Biblioteconomia (Bacharelado),Diurno,AC,-37.863,15.722
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,EP_R1_PPI,-65.619,-1.114
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,EP_R1_NPPI,-16.923,-11.802
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,EP_R2_PPI,-6.959,42.128
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,EP_R2_NPPI,41.689,53.407
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,CN,3.338,26.599
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Nutrição (Bacharelado),Diurno,AC,26.002,130.595
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,EP_R1_PPI,38.999,38.999
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,EP_R2_PPI,-14.085,-14.085
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,EP_R2_NPPI,-16.557,132.95
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia Química (Bacharelado),Diurno,AC,-50.087,134.041
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,EP_R1_PPI,-20.268,43.442
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,EP_R1_NPPI,22.149,44.794
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,EP_R2_PPI,5.198,25.608
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,EP_R2_NPPI,20.855,70.061
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,CN,47.566,86.323
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Medicina Veterinária (Bacharelado),Diurno,AC,50.187,118.151
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Bacharelado/Licenciatura),Diurno,EP_R1_NPPI,-16.795,-16.795
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Bacharelado/Licenciatura),Diurno,EP_R2_PPI,-8.586,-8.586
