			Sistema de Cotas para negros		Sistema de Cotas para Escolas Públicas																Sistema Universal	
					Renda ≤ 1,5 salário mínimo								Renda > 1,5 salário mínimo									
Campus	Turno	Curso	Mín.	Máx.	Mín. (PPI *)	Máx. (PPI *)	Mín. (PPI *)	Máx. (PPI *)	Mín. (não PPI *)	Máx. (não PPI *)	Mín. (não PPI *)	Máx. (não PPI *)	Mín. (PPI *)	Máx. (PPI *)	Mín. (PPI *)	Máx. (PPI *)	Mín. (não PPI *)	Máx. (não PPI *)	Mín. (não PPI *)	Máx. (não PPI *)	Mín.	Máx.
							PCD	PCD			PCD	PCD			PCD	PCD			PCD	PCD		
Campus Darcy Ribeiro	Diurno	Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado)	-34,469	-34,469	-	-	-	-	47,660	47,660	-	-	21,416	21,416	-	-	-13,842	-0,945	-	-	-55,946	50,274
Campus Darcy Ribeiro	Diurno	Língua Francesa e Respectiva Literatura (Bacharelado/Licenciat ura)	-	-	-	-	-	-	-2,644	-2,644	-	-	-48,718	-8,908	-	-	-43,649	-43,649	-	-	-44,511	28,361
Campus Darcy Ribeiro	Diurno	Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciat ura)	-25,636	-25,636	-42,015	-39,516	-	-	-3,967	-3,967	-	-	1,850	17,924	-	-	27,842	27,842	-	-	32,546	50,645
Campus Darcy Ribeiro	Diurno	Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciat ura)	8,583	8,583	-10,113	26,323	-	-	8,396	8,396	-	-	-13,148	25,795	-	-	23,426	23,426	-	-	41,363	52,962
Campus Darcy Ribeiro	Noturno	Língua Portuguesa e Respectiva Literatura (Licenciatura)	-	-	-	-	-	-	6,560	6,560	-	-	-23,897	-23,897	-	-	-51,267	-51,267	-	-	-70,531	78,089
Campus Darcy Ribeiro	Diurno	Matemática (Bacharelado/Licenciat ura)	-	-	1,929	1,929	-	-	-51,323	-0,098	-	-	-60,003	32,678	-	-	40,087	40,087	-	-	22,510	91,155
Campus Darcy Ribeiro	Diurno	Medicina (Bacharelado)	130.61 1	130.61 1	70,434	77,743	-6,687	-6,687	117.21 1	117.21 1	- 22.10 8	- 22.10 8	115.85 2	166.33 3	-	-	186.19 1	186.19 1	- 17.08 4	- 17.08 4	173.84 1	206.94 8
Campus Darcy Ribeiro	Diurno	Medicina Veterinária (Bacharelado)	68,270	68,270	9,779	22,881	-	-	7,066	34,654	-	-	60,745	65,444	-	-	50,944	54,202	-	-	82,802	179.56 0
Campus Darcy Ribeiro	Diurno	Museologia (Bacharelado)	-59,200	-59,200	-	-	-	-	-	-	-	-	-51,807	-48,412	-	-	-83,171	-5,934	-	-	-69,548	21,708
Campus Darcy Ribeiro	Diurno	Música (Licenciatura)*	-	-	-	-	-	-	13,326	13,326	-	-	-	-	-	-	-	-	-	-	-52,883	59,144
Campus Darcy Ribeiro	Diurno	Nutrição (Bacharelado)	27,706	27,706	-47,360	22,813	-	-	18,954	18,954	-	-	-13,868	14,264	-	-	48,358	48,358	-	-	64,371	93,954
Campus Darcy Ribeiro	Diurno	Odontologia (Bacharelado)	71,784	71,784	16,771	54,234	-	-	19,788	19,788	-	-	41,185	97,122	-	-	66,216	66,216	-	-	81,777	129.57 8
Campus Darcy Ribeiro	Diurno	Pedagogia (Licenciatura)	-15,759	-9,929	-36,471	26,623	-	-	-34,756	25,725	-	-	-28,413	6,627	-	-	-15,683	22,020	-	-	-20,971	44,375
Campus Darcy Ribeiro	Noturno	Pedagogia (Licenciatura)	17,691	17,691	-53,278	-41,609	-	-	-33,843	-8,815	-	-	-28,920	-28,920	-	-	-62,622	-17,576	-	-	-58,685	-3,162
Campus Darcy Ribeiro	Diurno	Psicologia (Bacharelado / Licenciatura / Psicólogo)	60,228	60,228	23,235	34,134	-	-	47,859	69,850	-	-	43,340	66,078	-	-	110.30 5	135.37 3	-	-	107.28 6	137.75 6
Campus Darcy Ribeiro	Diurno	Química (Bacharelado)	-22,823	-22,823	-	-	-	-	-31,140	10,829	-	-	-22,661	21,491	-	-	-37,593	57,929	-	-	16,702	89,253
Campus Darcy Ribeiro	Diurno	Química Tecnológica (Bacharelado)	-2,177	-2,177	-	-	-	-	23,339	23,339	-	-	-	-	-	-	-27,683	-27,683	-	-	-23,379	65,907
Campus Darcy Ribeiro	Diurno	Relações Internacionais (Bacharelado)	47,562	47,562	17,310	73,797	-	-	11,118	64,536	-	-	46,911	136.10 8	-	-	111.33 2	111.33 2	- 63.46 0	- 63.46 0	98,313	152.74 4
Campus Darcy Ribeiro	Noturno	Saúde Coletiva (Bacharelado)	-38,727	-38,727	-64,747	-22,831	-	-	-1,391	-1,391	-	-	-20,340	-20,340	-	-	-71,558	-36,051	-	-	-55,136	-44,554
Campus Darcy Ribeiro	Noturno	Serviço Social (Bacharelado)	-	-	-42,517	-26,010	-	-	-35,078	-35,078	-	-	-	-	-	-	-37,740	-14,877	-	-	-76,148	-17,915
Campus Darcy Ribeiro	Diurno	Serviço Social (Bacharelado)	14,694	14,694	-10,261	19,595	-	-	-	-	-	-	-33,215	1,085	-	-	-58,673	-11,650	-	-	3,922	58,117
Campus Darcy Ribeiro	Noturno	Teoria, Crítica e História da Arte (Bacharelado)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-27,615	-13,504	-	-	-0,054	50,763
Campus Darcy Ribeiro	Diurno	Turismo (Bacharelado)	-21,951	-21,951	-54,814	-54,814	-	-	-64,420	-64,420	-	-	-	-	-	-	-79,506	-24,630	-	-	-89,917	12,676
Campus UnB Ceilândi a (FCE)	Diurno	Enfermagem (Bacharelado)	36,970	36,970	3,019	34,414	- 61.59 7	- 61.59 7	14,131	22,520	-	-	4,949	31,291	-	-	26,360	46,546	-	-	26,432	71,320
Campus UnB Ceilândi a (FCE)	Diurno	Farmácia (Bacharelado)	3,739	3,739	2,818	2,818	-	-	-47,030	60,896	-	-	-17,250	63,724	-	-	22,311	28,161	-	-	-1,212	74,556
Campus UnB Ceilândi a (FCE)	Diurno	Fisioterapia (Bacharelado)	23,699	23,699	-13,417	3,499	-	-	0,515	17,749	-	-	-7,663	20,714	-	-	10,703	24,247	-	-	30,618	121.10 9
Campus UnB Ceilândi a (FCE)	Diurno	Fonoaudiologia (Bacharelado)	46,715	46,715	-11,763	14,629	-	-	-8,658	18,255	-	-	-69,725	23,483	-	-	25,151	25,151	-	-	-14,934	11,358
Campus UnB Ceilândi a (FCE)	Diurno	Saúde Coletiva (Bacharelado)	-	-	- 102.50 2	- 102.50 2	-	-	-55,278	-31,583	-	-	-58,614	-58,614	-	-	-95,903	-28,196	-	-	-67,997	-8,405
Campus UnB Ceilândi a (FCE)	Diurno	Terapia Ocupacional (Bacharelado)	-8,712	-8,712	-62,296	-38,060	-	-	-29,114	-25,419	-	-	-69,768	9,306	-	-	-14,518	37,811	-	-	-21,685	19,322
Campus UnB Gama (FGA)	Diurno	Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**	3,555	62,949	-67,127	17,176	-	-	-53,711	45,621	-	-	-54,926	44,722	-	-	12,504	93,644	-	-	50,195	175.14 6
Campus UnB Planalti na (FUP)	Diurno	Ciências Naturais (Licenciatura)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-85,500	-85,500
Campus UnB Planalti na (FUP)	Noturno	Ciências Naturais (Licenciatura)	-90,203	-90,203	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-76,854	-20,469
Campus UnB Planalti na (FUP)	Noturno	Gestão Ambiental (Bacharelado)	-	-	-	-	-	-	-	-	-	-	-34,138	-34,138	-	-	-73,509	39,118	-	-	-	-
Campus UnB Planalti na (FUP)	Diurno	Gestão do Agronegócio (Bacharelado)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-78,135	-78,135
