Curso	Turno	Sistema de Cotas para Escolas Públicas																Sistema de Cotas para Negros		Sistema Universal	
		Renda ≤ 1,5 salário mínimo								Renda > 1,5 salário mínino											
		PPI		PCD e PPI		Não PPI		PCD e Não PPI		PPI		PCD e PPI		Não PPI		PCD e Não PPI		Mín.	Máx.	Mín.	Máx.
		Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.				
Campus UnB — Ceilândia / DF																					
Geofísica (Bacharelado)	Diurno	-16,259	-16,259	-	-	-40,118	-40,118	-	-	-	-	-	-	-	-	-	-	-	-	-30,090	113,042
Geografia (Bacharelado/Licenciatura)	Diurno	-	-	-	-	-35,349	-13,749	-	-	-16,626	-16,626	-	-	-	-	-	-	-	-	-23,824	96,723
Geologia (Bacharelado)	Diurno	-14,615	-14,615	-	-	-	-	-	-	-34,358	-10,741	-	-	-	-	-	-	-36,670	-36,670	-54,123	77,924
Gestão de Agronegócio (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-60,214	-19,741
Gestão de Políticas Públicas (Bacharelado)	Noturno	-45,045	-45,045	-	-	-40,811	-40,811	-	-	-	-	-	-	-26,029	-6,666	-	-	-18,676	-18,676	-65,744	40,755
História (Bacharelado/Licenciatura)	Diurno	-7,038	38,180	-	-	-9,575	-2,267	-	-	-35,056	-16,391	-	-	19,641	34,497	-	-	-36,358	-36,358	41,891	79,295
História (Licenciatura)	Noturno	-43,023	-43,023	-	-	9,290	9,290	-	-	-24,296	-9,636	-	-	-	-	-	-	-	-	-67,087	59,169
Jornalismo (Bacharelado)	Diurno	-36,033	-15,391	-	-	1,728	1,728	-	-	-13,155	4,752	-	-	66,914	66,914	-	-	29,956	29,956	81,218	107,228
Letras – Português do Brasil como Segunda Língua (Licenciatura)	Diurno	-55,760	-55,760	-	-	-	-	-	-	3,895	3,895	-	-	-4,691	-4,691	-	-	-27,202	-27,202	-30,519	48,382
Letras – Tradução – Francês (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-75,823	8,992
Letras – Tradução – Inglês (Bacharelado)	Diurno	-61,692	-35,869	-	-	21,242	21,242	-	-	-62,082	1,315	-	-	2,713	2,713	-	-	-3,039	-3,039	13,430	119,299
Letras – Tradução Espanhol (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-80,944	-52,043
Licenciatura em Artes Cênicas*	Diurno	-	-	-	-	14,969	14,969	-	-	-	-	-	-	-21,566	-21,566	-	-	-	-	-49,270	96,437
Licenciatura em Ciências Biológicas	Noturno	-	-	-	-	-45,443	-25,456	-	-	-43,355	11,906	-	-	-44,203	-44,203	-	-	-	-	-34,711	141,546
Licenciatura em Física	Noturno	-	-	-	-	-59,910	26,842	-	-	-	-	-	-	-	-	-	-	-46,226	-46,226	-76,547	52,384
Licenciatura em Matemática	Noturno	23,101	23,101	-	-	-	-	-	-	-33,505	-15,931	-	-	-	-	-	-	-	-	-50,656	42,289
Licenciatura em Química	Noturno	-	-	-	-	-	-	-	-	-35,787	12,099	-	-	-30,664	-30,664	-	-	-	-	0,306	40,600
Língua e Literatura Japonesa (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-19,674	-19,674	-	-	-59,483	-59,483	-53,013	-0,264
Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-38,583	-38,583	-	-	-47,192	21,384	-	-	-	-	-71,142	-27,428
Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-76,629	5,904	-	-	-2,629	16,552	-	-	44,585	44,585	-32,749	50,344
Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura)	Diurno	-	-	-	-	-	-	-	-	-80,307	-20,312	-	-	-	-	-	-	-	-	-62,811	-4,072
Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura)	Diurno	-30,613	2,775	-	-	-12,715	-12,715	-	-	4,915	43,669	-	-	30,669	30,669	-	-	26,727	26,727	22,431	60,504
